"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"MDGA2"	5.09391626927769e-57	3.12246154821712	0.571	0.044	1.09427509296623e-52	"Ast"	"MDGA2"	"MS"
"ADGRV1"	4.98096954577481e-47	-3.45695848488378	0.031	0.683	1.07001187782334e-42	"Ast"	"ADGRV1"	"MS"
"CTNNA2"	4.93550754975068e-39	-2.54068817957269	0.378	0.801	1.06024573183744e-34	"Ast"	"CTNNA2"	"MS"
"GPM6A"	2.32693903451649e-33	-1.85006075710236	0.52	0.856	4.99873043394833e-29	"Ast"	"GPM6A"	"MS"
"SLC1A2"	5.69243780280402e-33	-2.94925865910307	0.383	0.751	1.22284948879836e-28	"Ast"	"SLC1A2"	"MS"
"AQP1"	4.15829811543326e-31	2.17138118493378	0.658	0.209	8.93285601157374e-27	"Ast"	"AQP1"	"MS"
"SLC1A3"	1.0168664287813e-29	-1.43706139745944	0.577	0.879	2.18443246230799e-25	"Ast"	"SLC1A3"	"MS"
"RP11.436D23.1"	1.77367585377865e-28	-2.53704377374822	0.077	0.543	3.81021046908729e-24	"Ast"	"RP11.436D23.1"	"MS"
"LINC00499"	8.97153643940569e-28	-3.10550553181702	0	0.44	1.92726545791313e-23	"Ast"	"LINC00499"	"MS"
"NRXN1"	8.05834915820961e-26	-2.42949679011468	0.321	0.67	1.73109456616659e-21	"Ast"	"NRXN1"	"MS"
"PLEKHA5"	7.40291453697136e-25	2.12314556120656	0.622	0.268	1.59029410083219e-20	"Ast"	"PLEKHA5"	"MS"
"CDH20"	1.48758083334306e-24	-1.41661867962767	0.388	0.767	3.19562114618757e-20	"Ast"	"CDH20"	"MS"
"ADGRB3"	1.64125737682047e-24	-1.47945196474896	0.383	0.757	3.52574909688572e-20	"Ast"	"ADGRB3"	"MS"
"RP11.460M2.1"	4.59391906965082e-24	1.9125841182756	0.204	0	9.8686569454239e-20	"Ast"	"RP11.460M2.1"	"MS"
"ABCA1"	1.55551318522857e-20	1.85536610411199	0.439	0.133	3.34155342450802e-16	"Ast"	"ABCA1"	"MS"
"TPD52L1"	1.04960128592634e-19	-2.04164430862952	0.031	0.381	2.25475348242696e-15	"Ast"	"TPD52L1"	"MS"
"C10orf11"	1.345567868899e-19	1.78841478871736	0.429	0.127	2.89054889596884e-15	"Ast"	"C10orf11"	"MS"
"ZNRF3"	3.89416624596717e-19	-1.89900074087215	0.102	0.465	8.36544792958667e-15	"Ast"	"ZNRF3"	"MS"
"KCND2"	8.01496826644635e-19	1.76627048629894	0.337	0.074	1.721775482998e-14	"Ast"	"KCND2"	"MS"
"SHISA9"	1.11332674957733e-18	1.92898194791282	0.26	0.036	2.39164852344203e-14	"Ast"	"SHISA9"	"MS"
"ZNF98"	1.22550782495128e-18	-2.19949278688013	0	0.315	2.63263590956034e-14	"Ast"	"ZNF98"	"MS"
"CPE"	1.65241601141192e-18	-1.37481132679152	0.265	0.643	3.54972007571509e-14	"Ast"	"CPE"	"MS"
"PLPP3"	1.74364039753949e-18	-1.44671275597612	0.23	0.609	3.74568830199433e-14	"Ast"	"PLPP3"	"MS"
"CST3"	1.76038242884053e-18	-1.54499403839827	0.327	0.658	3.78165353363523e-14	"Ast"	"CST3"	"MS"
"NKAIN3"	7.04168672181481e-18	-1.57054377867943	0.23	0.59	1.51269514158026e-13	"Ast"	"NKAIN3"	"MS"
"GPC5"	2.28099989378001e-17	-1.79984147482407	0.485	0.696	4.90004397181821e-13	"Ast"	"GPC5"	"MS"
