"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"ADGRV1"	1.12485629231691e-52	-3.61519655618789	0.031	0.755	2.41641628715519e-48	"Ast"	"ADGRV1"	"40-60"	"MS"
"SLC1A2"	6.2589959372954e-46	-3.24346983973027	0.383	0.852	1.3445575072498e-41	"Ast"	"SLC1A2"	"40-60"	"MS"
"MDGA2"	1.16090715697601e-45	3.04463470957198	0.571	0.052	2.49386075461585e-41	"Ast"	"MDGA2"	"40-60"	"MS"
"CTNNA2"	8.69691410625607e-45	-2.7301137947536	0.378	0.852	1.86827108830593e-40	"Ast"	"CTNNA2"	"40-60"	"MS"
"GPM6A"	2.53991477881366e-40	-1.96880799538185	0.52	0.92	5.45624492784751e-36	"Ast"	"GPM6A"	"40-60"	"MS"
"LINC00499"	6.33526163130557e-38	-3.44425387005926	0	0.571	1.36094090363706e-33	"Ast"	"LINC00499"	"40-60"	"MS"
"NRXN1"	7.25696581359587e-36	-2.68404703469764	0.321	0.766	1.55894139607667e-31	"Ast"	"NRXN1"	"40-60"	"MS"
"SLC1A3"	1.11099226330846e-35	-1.58555677799065	0.577	0.931	2.38663358003924e-31	"Ast"	"SLC1A3"	"40-60"	"MS"
"CDH20"	2.05247516306145e-31	-1.55132829200337	0.388	0.846	4.40912714528861e-27	"Ast"	"CDH20"	"40-60"	"MS"
"AQP1"	3.94532495208909e-31	2.20792772472064	0.658	0.17	8.47534706207779e-27	"Ast"	"AQP1"	"40-60"	"MS"
"ADGRB3"	8.55895159960529e-31	-1.64528623904624	0.383	0.83	1.83863398262721e-26	"Ast"	"ADGRB3"	"40-60"	"MS"
"RP11.436D23.1"	1.64732315838852e-30	-2.5951600256557	0.077	0.582	3.53877960885023e-26	"Ast"	"RP11.436D23.1"	"40-60"	"MS"
"GPC5"	8.38871857545994e-27	-2.03185784981233	0.485	0.797	1.8020645243803e-22	"Ast"	"GPC5"	"40-60"	"MS"
"PLEKHA5"	1.89147330847645e-23	2.21464877070561	0.622	0.266	4.06326296126911e-19	"Ast"	"PLEKHA5"	"40-60"	"MS"
"NKAIN3"	2.50710557330819e-23	-1.74675037405527	0.23	0.673	5.38576419258066e-19	"Ast"	"NKAIN3"	"40-60"	"MS"
"MT.ND3"	5.01801666466051e-23	1.33650475588506	0.944	0.865	1.07797033990237e-18	"Ast"	"MT.ND3"	"40-60"	"MS"
"ZNRF3"	8.92319986424789e-23	-2.06370617504498	0.102	0.525	1.91688179483773e-18	"Ast"	"ZNRF3"	"40-60"	"MS"
"PLPP3"	1.19463085691315e-22	-1.59526043359186	0.23	0.679	2.56630600682082e-18	"Ast"	"PLPP3"	"40-60"	"MS"
"TPD52L1"	2.95723238463852e-22	-2.09581908417041	0.031	0.426	6.35272660868047e-18	"Ast"	"TPD52L1"	"40-60"	"MS"
"ZNF98"	3.00468866291579e-22	-2.39372905293533	0	0.374	6.4546721856757e-18	"Ast"	"ZNF98"	"40-60"	"MS"
"CABLES1"	1.04742152264283e-21	-2.16793020984921	0.056	0.456	2.25007091494132e-17	"Ast"	"CABLES1"	"40-60"	"MS"
"CD44"	8.95890244607467e-21	1.9393139795855	0.5	0.143	1.92455142346576e-16	"Ast"	"CD44"	"40-60"	"MS"
"C10orf11"	1.17180459780584e-20	2.19070234014196	0.429	0.107	2.5172706370065e-16	"Ast"	"C10orf11"	"40-60"	"MS"
"GABRB1"	2.73201942729259e-20	-1.61046888733954	0.245	0.646	5.86892413370994e-16	"Ast"	"GABRB1"	"40-60"	"MS"
"ARHGAP24"	3.10978670728273e-20	-2.12101823023363	0.036	0.404	6.68044380458475e-16	"Ast"	"ARHGAP24"	"40-60"	"MS"
"APLNR"	3.17121935385917e-20	2.12492987646826	0.347	0.052	6.81241341596027e-16	"Ast"	"APLNR"	"40-60"	"MS"
"CPE"	5.56059127323848e-20	-1.43736837216038	0.265	0.679	1.19452621731709e-15	"Ast"	"CPE"	"40-60"	"MS"
"AEBP1"	8.07505529029357e-20	1.67744049493152	0.556	0.198	1.73468337746087e-15	"Ast"	"AEBP1"	"40-60"	"MS"
"CADM1"	1.1142828398704e-19	-1.38297478995332	0.27	0.676	2.39370239660959e-15	"Ast"	"CADM1"	"40-60"	"MS"
"GABRA2"	1.89857688176675e-19	-2.20393304492302	0	0.332	4.07852285741133e-15	"Ast"	"GABRA2"	"40-60"	"MS"
"CST3"	3.11997320155865e-19	-1.53050581764645	0.327	0.695	6.70232643158829e-15	"Ast"	"CST3"	"40-60"	"MS"
"RP11.460M2.1"	4.35735848623096e-19	1.9125841182756	0.204	0	9.36047750012134e-15	"Ast"	"RP11.460M2.1"	"40-60"	"MS"
"CKB"	9.83767107300151e-19	-1.16909408164677	0.362	0.753	2.11332849990218e-14	"Ast"	"CKB"	"40-60"	"MS"
"GRM3"	1.2349333276186e-18	-1.73756599935388	0.117	0.497	2.65288377439027e-14	"Ast"	"GRM3"	"40-60"	"MS"
"SPARCL1"	5.43573302049436e-18	-1.37350416150213	0.429	0.775	1.1677041674626e-13	"Ast"	"SPARCL1"	"40-60"	"MS"
"PCDH9"	7.48565722955066e-18	-0.753459968423403	0.898	0.962	1.60806888605207e-13	"Ast"	"PCDH9"	"40-60"	"MS"
"MT.ATP6"	1.44954206632536e-17	1.04780452913491	0.923	0.841	3.11390626688014e-13	"Ast"	"MT.ATP6"	"40-60"	"MS"
"AC105402.4"	1.76219116892218e-17	-2.4201967897205	0.02	0.341	3.78553906907864e-13	"Ast"	"AC105402.4"	"40-60"	"MS"
"ABCA1"	6.50339707841182e-17	1.82080274286561	0.439	0.146	1.39705976038443e-12	"Ast"	"ABCA1"	"40-60"	"MS"
"GRIA2"	6.67576695172264e-17	-1.65438614940783	0.102	0.448	1.43408825656906e-12	"Ast"	"GRIA2"	"40-60"	"MS"
"CADM2"	9.54133419672095e-17	-0.971872539035607	0.561	0.849	2.0496694121396e-12	"Ast"	"CADM2"	"40-60"	"MS"
"MT.CO3"	9.7044885306214e-17	0.971373300275045	0.954	0.901	2.08471822614809e-12	"Ast"	"MT.CO3"	"40-60"	"MS"
"LSAMP"	2.19477028625174e-16	-0.801442501798397	0.878	0.959	4.71480552892599e-12	"Ast"	"LSAMP"	"40-60"	"MS"
"CHI3L1"	2.9446769964084e-16	3.03829339069553	0.27	0.041	6.32575512368453e-12	"Ast"	"CHI3L1"	"40-60"	"MS"
"LAMA2"	4.87181907652284e-16	2.03211122012033	0.321	0.071	1.04656417401864e-11	"Ast"	"LAMA2"	"40-60"	"MS"
"KCND2"	5.78411943919857e-16	1.76529030198234	0.337	0.077	1.24254453792864e-11	"Ast"	"KCND2"	"40-60"	"MS"
"PON2"	6.86590937597832e-16	-1.70148178311986	0.117	0.442	1.47493465214766e-11	"Ast"	"PON2"	"40-60"	"MS"
"TTTY14"	9.21112776042542e-16	-1.83052075391133	0	0.275	1.97873446549459e-11	"Ast"	"TTTY14"	"40-60"	"MS"
"DGKG"	1.39957213805077e-15	-1.56943582024399	0.051	0.365	3.00656086696066e-11	"Ast"	"DGKG"	"40-60"	"MS"
"AC074363.1"	1.63157233749597e-15	-1.61715108483927	0.031	0.338	3.50494369540883e-11	"Ast"	"AC074363.1"	"40-60"	"MS"
"SHISA9"	6.81696326717065e-15	1.94492321633595	0.26	0.041	1.4644200490536e-10	"Ast"	"SHISA9"	"40-60"	"MS"
"ETNPPL"	8.55646325387069e-15	-1.42018083980561	0.102	0.426	1.8380994361965e-10	"Ast"	"ETNPPL"	"40-60"	"MS"
"RGMA"	1.04769683121311e-14	1.67337482419631	0.429	0.151	2.250662332812e-10	"Ast"	"RGMA"	"40-60"	"MS"
"RORB"	1.44931284332774e-14	-1.72116749947806	0.066	0.365	3.11341385003664e-10	"Ast"	"RORB"	"40-60"	"MS"
"TSHZ2"	1.97806761108478e-14	1.7819419698248	0.327	0.077	4.24928484213232e-10	"Ast"	"TSHZ2"	"40-60"	"MS"
"EPHA6"	2.10363637104528e-14	-1.81151808707194	0.01	0.275	4.51903165227947e-10	"Ast"	"EPHA6"	"40-60"	"MS"
"MT.ND4"	4.60075576990167e-14	0.868557592554743	0.954	0.937	9.88334354490277e-10	"Ast"	"MT.ND4"	"40-60"	"MS"
"DNAH7"	6.6239131015668e-14	-1.20189591489608	0.143	0.478	1.42294901247858e-09	"Ast"	"DNAH7"	"40-60"	"MS"
"LINC01088"	8.78217515857907e-14	1.73940361089029	0.378	0.115	1.88658686756595e-09	"Ast"	"LINC01088"	"40-60"	"MS"
"THBS2"	9.89393232275853e-14	1.39133900620809	0.214	0.025	2.12541454157499e-09	"Ast"	"THBS2"	"40-60"	"MS"
"SLC14A1"	1.05103142446498e-13	-1.21194048412415	0.224	0.555	2.25782570603567e-09	"Ast"	"SLC14A1"	"40-60"	"MS"
"LUZP2"	1.14305634437122e-13	1.73548189965828	0.184	0.014	2.45551363897825e-09	"Ast"	"LUZP2"	"40-60"	"MS"
"UTY"	1.31091702386397e-13	-1.56893238058446	0	0.239	2.81611195066459e-09	"Ast"	"UTY"	"40-60"	"MS"
"CADPS"	4.10064977474402e-13	1.9668300299918	0.342	0.107	8.8090158461051e-09	"Ast"	"CADPS"	"40-60"	"MS"
"ZFHX4"	4.79757681837641e-13	-1.34773120081636	0.082	0.371	1.03061545212362e-08	"Ast"	"ZFHX4"	"40-60"	"MS"
"AHCYL2"	5.54945127559494e-13	-1.3248239716934	0.168	0.473	1.19213312302331e-08	"Ast"	"AHCYL2"	"40-60"	"MS"
"MAN1C1"	5.9390080842698e-13	1.59507720466027	0.265	0.055	1.27581771666284e-08	"Ast"	"MAN1C1"	"40-60"	"MS"
"ABCC3"	7.42528058543495e-13	1.56727241731793	0.153	0.005	1.59509877536314e-08	"Ast"	"ABCC3"	"40-60"	"MS"
"MT.ND2"	8.70338392535685e-13	0.851123424328729	0.908	0.907	1.86966093484516e-08	"Ast"	"MT.ND2"	"40-60"	"MS"
"LRRC16A"	9.25864896019085e-13	-1.10848198695856	0.224	0.56	1.9889429696282e-08	"Ast"	"LRRC16A"	"40-60"	"MS"
"FBXL7"	9.5999697779618e-13	-1.08528980204906	0.393	0.687	2.06226550770176e-08	"Ast"	"FBXL7"	"40-60"	"MS"
"TSPAN7"	1.08705054885764e-12	-1.58395821815769	0.031	0.283	2.33520198905597e-08	"Ast"	"TSPAN7"	"40-60"	"MS"
"NTNG1"	1.10510370337075e-12	1.58518194474573	0.189	0.019	2.37398377558104e-08	"Ast"	"NTNG1"	"40-60"	"MS"
"RANBP3L"	1.12846948853275e-12	-1.32621019616798	0.051	0.319	2.42417815526606e-08	"Ast"	"RANBP3L"	"40-60"	"MS"
"STXBP6"	1.26985553128426e-12	-1.41052590994241	0.036	0.288	2.72790365230485e-08	"Ast"	"STXBP6"	"40-60"	"MS"
"MAGI2"	1.48584877775304e-12	-0.728367336563853	0.719	0.907	3.19190034436908e-08	"Ast"	"MAGI2"	"40-60"	"MS"
"CRB1"	1.73236403383887e-12	-1.16572871593894	0.179	0.489	3.72146441749265e-08	"Ast"	"CRB1"	"40-60"	"MS"
"SCRG1"	1.84913477453734e-12	-1.50987471102989	0.046	0.302	3.97231132266111e-08	"Ast"	"SCRG1"	"40-60"	"MS"
"GLI3"	2.28361475976371e-12	-1.42941489175556	0.031	0.277	4.90566122692439e-08	"Ast"	"GLI3"	"40-60"	"MS"
"PTN"	2.54180310176763e-12	-1.10276449149654	0.143	0.459	5.46030142321723e-08	"Ast"	"PTN"	"40-60"	"MS"
"GRID2"	3.12631194060864e-12	2.15249345497546	0.255	0.058	6.71594331081549e-08	"Ast"	"GRID2"	"40-60"	"MS"
"AC015936.3"	4.08693961464863e-12	1.39637476032261	0.153	0.008	8.77956368018818e-08	"Ast"	"AC015936.3"	"40-60"	"MS"
"RASGEF1B"	7.99736946185871e-12	1.5738561408927	0.306	0.091	1.71799490779649e-07	"Ast"	"RASGEF1B"	"40-60"	"MS"
"RALYL"	1.00806537768698e-11	1.42721552988591	0.219	0.038	2.16552604434717e-07	"Ast"	"RALYL"	"40-60"	"MS"
"C3"	1.21478431823502e-11	1.50701603918683	0.224	0.041	2.60959967243247e-07	"Ast"	"C3"	"40-60"	"MS"
"NPAS3"	1.40953952477181e-11	-0.634884436837853	0.796	0.945	3.02797280711479e-07	"Ast"	"NPAS3"	"40-60"	"MS"
"NLGN4Y"	2.15904402090135e-11	-1.36442783446454	0	0.201	4.63805836570028e-07	"Ast"	"NLGN4Y"	"40-60"	"MS"
"MT.CO2"	2.19224669053046e-11	0.67683625526871	0.98	0.923	4.70938434059754e-07	"Ast"	"MT.CO2"	"40-60"	"MS"
"PREX2"	2.19860431809805e-11	-0.911461850801116	0.286	0.585	4.72304179613824e-07	"Ast"	"PREX2"	"40-60"	"MS"
"TMEM241"	2.53966095357466e-11	-1.61612375796183	0.01	0.22	5.45569966046908e-07	"Ast"	"TMEM241"	"40-60"	"MS"
"CTC.498M16.4"	2.59155612937344e-11	-1.34714347196086	0.066	0.316	5.56718087712003e-07	"Ast"	"CTC.498M16.4"	"40-60"	"MS"
"IGHA1"	2.63940252346204e-11	4.4690901177635	0.117	0	5.66996450090115e-07	"Ast"	"IGHA1"	"40-60"	"MS"
"ATP1A2"	3.17953355884142e-11	-0.963520674905185	0.189	0.484	6.83027399110314e-07	"Ast"	"ATP1A2"	"40-60"	"MS"
"SLC38A1"	3.20231841996859e-11	1.40118042521799	0.296	0.085	6.87922042977653e-07	"Ast"	"SLC38A1"	"40-60"	"MS"
"DCLK1"	3.49781715651241e-11	1.4484751363001	0.408	0.162	7.51401081561996e-07	"Ast"	"DCLK1"	"40-60"	"MS"
"NEAT1"	4.05396428012039e-11	0.778312328282199	0.837	0.78	8.70872606655461e-07	"Ast"	"NEAT1"	"40-60"	"MS"
"NRXN3"	4.32416744596893e-11	1.66132566373352	0.495	0.266	9.28917650743045e-07	"Ast"	"NRXN3"	"40-60"	"MS"
"MT.ND1"	5.74462956346201e-11	0.811161853050366	0.857	0.81	1.23406132282291e-06	"Ast"	"MT.ND1"	"40-60"	"MS"
"SLCO1C1"	5.76026923383652e-11	-1.17650167335294	0.087	0.346	1.23742103681276e-06	"Ast"	"SLCO1C1"	"40-60"	"MS"
"TNIK"	5.82320656962427e-11	-0.823153528734635	0.52	0.742	1.25094123528669e-06	"Ast"	"TNIK"	"40-60"	"MS"
"NTRK2"	6.40658735411341e-11	-0.896382302251697	0.342	0.648	1.37626309541064e-06	"Ast"	"NTRK2"	"40-60"	"MS"
"FRY"	6.43088523423838e-11	1.37470144365813	0.235	0.052	1.38148276601909e-06	"Ast"	"FRY"	"40-60"	"MS"
"SLC26A3"	6.46540608054985e-11	1.50406986197273	0.281	0.08	1.38889853422372e-06	"Ast"	"SLC26A3"	"40-60"	"MS"
"CHPT1"	8.2428409505588e-11	-0.948290619891238	0.209	0.505	1.77072709299904e-06	"Ast"	"CHPT1"	"40-60"	"MS"
"FLRT2"	8.7294043866919e-11	-1.43493809617728	0.087	0.335	1.87525065034915e-06	"Ast"	"FLRT2"	"40-60"	"MS"
"MAPK8IP1"	9.59578178038175e-11	1.33544335642583	0.342	0.129	2.06136584206161e-06	"Ast"	"MAPK8IP1"	"40-60"	"MS"
"PRDM16"	1.06670087345061e-10	-1.40876535293697	0.026	0.239	2.29148681634659e-06	"Ast"	"PRDM16"	"40-60"	"MS"
"SPARC"	1.51155003240967e-10	1.33891591195186	0.321	0.11	3.24711177962245e-06	"Ast"	"SPARC"	"40-60"	"MS"
"TNC"	1.7584894138522e-10	1.55138226021962	0.352	0.135	3.77758695883729e-06	"Ast"	"TNC"	"40-60"	"MS"
"WIF1"	1.79309903266201e-10	-1.65553759467858	0	0.184	3.85193534196452e-06	"Ast"	"WIF1"	"40-60"	"MS"
"MYO6"	2.43540561307573e-10	-0.898806867965679	0.209	0.495	5.23173833800928e-06	"Ast"	"MYO6"	"40-60"	"MS"
"MGAT4C"	2.77854898781617e-10	-0.984640550347296	0.214	0.508	5.9688789356267e-06	"Ast"	"MGAT4C"	"40-60"	"MS"
"FKBP5"	2.83861730473824e-10	-1.12669834260295	0.061	0.291	6.09791769403869e-06	"Ast"	"FKBP5"	"40-60"	"MS"
"EFNA5"	4.55586976251771e-10	-1.25180879915284	0.031	0.239	9.78691942384055e-06	"Ast"	"EFNA5"	"40-60"	"MS"
"DDAH1"	5.06208291030336e-10	-0.94318902188462	0.107	0.371	1.08743665079137e-05	"Ast"	"DDAH1"	"40-60"	"MS"
"LHX2"	5.08951110130855e-10	-1.35153878968571	0	0.176	1.0933287747831e-05	"Ast"	"LHX2"	"40-60"	"MS"
"PHACTR3"	5.28736517990752e-10	-1.19426541358789	0.082	0.319	1.13583178794773e-05	"Ast"	"PHACTR3"	"40-60"	"MS"
"PABPN1"	6.12894878394615e-10	1.50167237928664	0.224	0.055	1.31662077776731e-05	"Ast"	"PABPN1"	"40-60"	"MS"
"TMEM163"	6.29596845371146e-10	1.3894019881804	0.143	0.014	1.3524999432263e-05	"Ast"	"TMEM163"	"40-60"	"MS"
"PDE4D"	6.65841071681599e-10	-0.787190089433105	0.306	0.58	1.43035979018641e-05	"Ast"	"PDE4D"	"40-60"	"MS"
"GFAP"	6.66076171365826e-10	1.63328897007987	0.24	0.063	1.43086483132807e-05	"Ast"	"GFAP"	"40-60"	"MS"
"TMEM108"	6.75102033589233e-10	-1.20096071332786	0.036	0.242	1.45025418855639e-05	"Ast"	"TMEM108"	"40-60"	"MS"
"CSGALNACT1"	7.05117003653568e-10	-1.23206113094919	0.112	0.354	1.5147323472486e-05	"Ast"	"CSGALNACT1"	"40-60"	"MS"
"GJB6"	7.38345596326636e-10	-1.41197584365755	0.01	0.195	1.58611401002888e-05	"Ast"	"GJB6"	"40-60"	"MS"
"RHOBTB3"	7.59937026140071e-10	-0.92856882580114	0.112	0.368	1.6324967195541e-05	"Ast"	"RHOBTB3"	"40-60"	"MS"
"ADD3"	8.5777021391698e-10	-0.966255481237207	0.219	0.5	1.84266197353646e-05	"Ast"	"ADD3"	"40-60"	"MS"
"ACSS3"	9.15710743144338e-10	-1.16968846421082	0.066	0.294	1.96712981842267e-05	"Ast"	"ACSS3"	"40-60"	"MS"
"ZBTB20"	9.20185909543546e-10	-0.58939663014392	0.74	0.904	1.97674337088145e-05	"Ast"	"ZBTB20"	"40-60"	"MS"
"GLUL"	1.69927493396133e-09	-0.732145239885905	0.48	0.755	3.65038241313573e-05	"Ast"	"GLUL"	"40-60"	"MS"
"MAST4"	1.89827037639355e-09	-0.968271169634429	0.209	0.478	4.07786442256863e-05	"Ast"	"MAST4"	"40-60"	"MS"
"EMX2"	2.01430748739574e-09	-1.38794126906178	0	0.165	4.32713534442353e-05	"Ast"	"EMX2"	"40-60"	"MS"
"UQCRB"	2.06627962621447e-09	-1.07085752110406	0.092	0.332	4.43878189303393e-05	"Ast"	"UQCRB"	"40-60"	"MS"
"PDZRN4"	2.07424748216118e-09	1.43026308749166	0.173	0.03	4.45589844117864e-05	"Ast"	"PDZRN4"	"40-60"	"MS"
"CLDN10"	2.67406453592521e-09	-1.15356391552251	0.01	0.187	5.74442543607454e-05	"Ast"	"CLDN10"	"40-60"	"MS"
"GPHN"	2.96969616055008e-09	-0.757934586203056	0.286	0.569	6.37950129209369e-05	"Ast"	"GPHN"	"40-60"	"MS"
"MAP1B"	3.22288111206277e-09	1.12328117882669	0.5	0.288	6.92339320493324e-05	"Ast"	"MAP1B"	"40-60"	"MS"
"ID3"	3.2713979331336e-09	1.58071761131009	0.25	0.077	7.0276170399576e-05	"Ast"	"ID3"	"40-60"	"MS"
"RORA"	3.88789541417353e-09	-0.770405770184254	0.622	0.808	8.35197692872758e-05	"Ast"	"RORA"	"40-60"	"MS"
"HEPN1"	4.10240254779348e-09	-1.16554272273622	0.102	0.321	8.81278115316996e-05	"Ast"	"HEPN1"	"40-60"	"MS"
"ASPH"	4.31920120411213e-09	-0.849380313207174	0.153	0.404	9.27850802667369e-05	"Ast"	"ASPH"	"40-60"	"MS"
"VAV3"	4.53663001171721e-09	-1.14268433466385	0.031	0.223	9.74558859117091e-05	"Ast"	"VAV3"	"40-60"	"MS"
"BRINP3"	4.89033890007495e-09	-1.153683202102	0.046	0.25	0.00010505426025141	"Ast"	"BRINP3"	"40-60"	"MS"
"PFKFB3"	4.94466938860009e-09	1.47229532276187	0.311	0.124	0.000106221387805907	"Ast"	"PFKFB3"	"40-60"	"MS"
"SPON1"	6.47590172409565e-09	-0.913284472863882	0.128	0.374	0.000139115320837023	"Ast"	"SPON1"	"40-60"	"MS"
"PDE7B"	7.96199051022443e-09	-0.922654779114011	0.153	0.407	0.000171039480140641	"Ast"	"PDE7B"	"40-60"	"MS"
"STXBP5"	8.01979624145861e-09	-1.09179839171796	0.097	0.316	0.000172281262859014	"Ast"	"STXBP5"	"40-60"	"MS"
"NHSL1"	9.41836332601338e-09	-0.98790663533027	0.148	0.387	0.000202325280969419	"Ast"	"NHSL1"	"40-60"	"MS"
"BCL6"	9.54196940015518e-09	1.22913992080481	0.362	0.165	0.000204980586654134	"Ast"	"BCL6"	"40-60"	"MS"
"COX7C"	9.66146435322835e-09	-0.998559369979745	0.036	0.225	0.000207547577236051	"Ast"	"COX7C"	"40-60"	"MS"
"ACTN1"	1.22523247331705e-08	1.56325546125379	0.163	0.03	0.000263204439917969	"Ast"	"ACTN1"	"40-60"	"MS"
"PAPLN"	1.27113165979295e-08	-0.995469354789192	0.046	0.245	0.000273064503156722	"Ast"	"PAPLN"	"40-60"	"MS"
"NTM"	1.33611827358969e-08	-0.58438378384617	0.75	0.865	0.000287024927532537	"Ast"	"NTM"	"40-60"	"MS"
"DNM3"	1.34421581077756e-08	-0.881317813482945	0.245	0.511	0.000288764440471235	"Ast"	"DNM3"	"40-60"	"MS"
"TOX"	1.35534752284852e-08	-1.10942117402882	0.092	0.308	0.00029115575485832	"Ast"	"TOX"	"40-60"	"MS"
