"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"XIST"	0	3.48164314704856	0.761	0.002	0	"Ast"	"XIST"
"APOE"	3.12349900439508e-102	1.46127927088292	0.899	0.735	9.16497077869605e-98	"Ast"	"APOE"
"LINC00486"	4.73630141113828e-60	0.578380797694415	0.998	0.996	1.38972556005619e-55	"Ast"	"LINC00486"
"MALAT1"	4.54474772616907e-49	-0.472302315559144	1	1	1.33351987781253e-44	"Ast"	"MALAT1"
"HES4"	1.50334631642404e-45	0.859443054596704	0.144	0.023	4.41111876165142e-41	"Ast"	"HES4"
"UTY"	5.98977076385086e-45	-1.33997837189411	0.007	0.289	1.75751853752912e-40	"Ast"	"UTY"
"TTTY14"	8.21765831528387e-43	-1.36626885462202	0.007	0.278	2.41122530287059e-38	"Ast"	"TTTY14"
"CYP4F22"	3.53236400814084e-42	1.04616596284103	0.185	0.044	1.03646624726868e-37	"Ast"	"CYP4F22"
"BCYRN1"	1.60231976747463e-41	-1.45630428507444	0.162	0.488	4.70152666172405e-37	"Ast"	"BCYRN1"
"LINC01088"	3.12190794111515e-41	-0.679696491443326	0.563	0.866	9.16030228082008e-37	"Ast"	"LINC01088"
"AQP1"	7.53113897952172e-35	-0.988944399895332	0.284	0.593	2.20978679937126e-30	"Ast"	"AQP1"
"MT-ND4"	9.36182081391725e-35	-1.13738789524173	0.214	0.521	2.7469454632196e-30	"Ast"	"MT-ND4"
"SLC6A1-AS1"	1.16727675438641e-33	0.945448043950348	0.635	0.493	3.4250234527206e-29	"Ast"	"SLC6A1-AS1"
"CST3"	5.96053910431957e-33	0.855308352413318	0.719	0.598	1.74894138398945e-28	"Ast"	"CST3"
"NLGN4Y"	2.65267652046157e-30	-0.993331352357521	0.043	0.272	7.78348344633834e-26	"Ast"	"NLGN4Y"
"MT-ATP6"	4.51425755164275e-28	-0.836445657173952	0.164	0.434	1.32457345080302e-23	"Ast"	"MT-ATP6"
"FGFR3"	6.91710551062746e-28	0.663377792419964	0.79	0.711	2.02961709892831e-23	"Ast"	"FGFR3"
"IQCA1"	1.65779488788404e-27	-0.727916508834755	0.446	0.7	4.86430176002934e-23	"Ast"	"IQCA1"
"PEBP4"	7.79358921661706e-26	-0.890692666113765	0.101	0.333	2.28679494793978e-21	"Ast"	"PEBP4"
"C1QTNF4"	8.24655537166659e-26	0.909070582956792	0.196	0.07	2.41970427715441e-21	"Ast"	"C1QTNF4"
"CTNNA2"	1.30723440103161e-24	-0.50601421288277	0.75	0.907	3.83568717950695e-20	"Ast"	"CTNNA2"
"RHOB"	1.59336772733247e-24	0.662562000504969	0.716	0.643	4.67525958553894e-20	"Ast"	"RHOB"
"ID4"	1.66718972446254e-23	0.919652930583236	0.451	0.299	4.89186808951798e-19	"Ast"	"ID4"
"DPP10"	1.97287500023572e-23	-1.33799165907185	0.36	0.561	5.78880982569165e-19	"Ast"	"DPP10"
"USP9Y"	3.46854890904921e-23	-0.831848906843581	0.005	0.165	1.01774162089322e-18	"Ast"	"USP9Y"
"MT-ND1"	7.12381438426182e-22	-0.795895464055426	0.113	0.331	2.0902696166301e-17	"Ast"	"MT-ND1"
"MT-ND2"	7.59602303500095e-22	-0.8938164382374	0.144	0.367	2.22882507892998e-17	"Ast"	"MT-ND2"
"MT-CO2"	2.04153615335234e-21	-0.80607832498627	0.331	0.579	5.99027538116643e-17	"Ast"	"MT-CO2"
"PITPNC1"	2.66818311542507e-21	-0.383886486355011	0.932	0.974	7.82898289728024e-17	"Ast"	"PITPNC1"
"RASL10A"	6.44581917986849e-21	0.795915568754951	0.201	0.083	1.89133226375701e-16	"Ast"	"RASL10A"
"RYR3"	1.24855104506478e-20	-0.458622501793061	0.68	0.865	3.66349847642909e-16	"Ast"	"RYR3"
"ADGRB1"	4.99218519103679e-20	0.776856596501923	0.255	0.126	1.46480697875401e-15	"Ast"	"ADGRB1"
"C1orf61"	6.39968104012555e-20	0.447607098928472	0.892	0.871	1.87779441079364e-15	"Ast"	"C1orf61"
"CHST9"	7.53064831019419e-20	-0.734782006430855	0.049	0.22	2.20964282717718e-15	"Ast"	"CHST9"
"PDE4DIP"	9.54836521176556e-20	-0.544046325556154	0.543	0.741	2.80168132043625e-15	"Ast"	"PDE4DIP"
"LINC00299"	1.06789098072637e-19	-0.571718188188622	0.209	0.451	3.13340571564732e-15	"Ast"	"LINC00299"
"CIRBP"	1.08840891166195e-19	0.577134526769666	0.671	0.601	3.19360942859849e-15	"Ast"	"CIRBP"
"ARRB1"	5.85156505372649e-19	-0.64595015499899	0.131	0.338	1.71696621806443e-14	"Ast"	"ARRB1"
"FTH1"	9.4964196290865e-19	0.697292713229276	0.583	0.483	2.78643944756656e-14	"Ast"	"FTH1"
"LINC00278"	1.03042561922101e-18	-0.701090036361706	0.002	0.129	3.02347485191828e-14	"Ast"	"LINC00278"
"TSHZ2"	5.48173502676179e-18	-0.461501177617292	0.403	0.653	1.60845069155244e-13	"Ast"	"TSHZ2"
"SRPX2"	6.17581195908961e-18	0.805880077265398	0.387	0.259	1.81210674503607e-13	"Ast"	"SRPX2"
"MAPT"	8.05799515236378e-18	-0.548309294221141	0.383	0.616	2.36437693760658e-13	"Ast"	"MAPT"
"TTN"	1.88786494501508e-17	-0.677755522310765	0.165	0.359	5.53937332166325e-13	"Ast"	"TTN"
"FAM85B"	7.27679661376867e-17	-0.645920126108241	0.049	0.197	2.135157662412e-12	"Ast"	"FAM85B"
"ITPKB"	1.04255492869364e-16	-0.476334958984262	0.46	0.689	3.05906467177288e-12	"Ast"	"ITPKB"
"HNRNPH1"	1.19052409917378e-16	0.808637310972826	0.349	0.23	3.49323581179571e-12	"Ast"	"HNRNPH1"
"CCDC129"	2.58260638632463e-16	-0.581118131686501	0.076	0.236	7.57788365875374e-12	"Ast"	"CCDC129"
"ZBTB16"	3.06894196572608e-16	-0.52660405256855	0.138	0.331	9.00488951583346e-12	"Ast"	"ZBTB16"
"SYNE1"	3.19789851446956e-16	-0.483065765208322	0.549	0.753	9.3832738211566e-12	"Ast"	"SYNE1"
"PPP2R2B"	3.68882294110459e-16	-0.295237344401309	0.951	0.98	1.08237442737891e-11	"Ast"	"PPP2R2B"
"MT-ND4L"	4.62160413885709e-16	-0.630677175368166	0.056	0.205	1.35607108642345e-11	"Ast"	"MT-ND4L"
"FAM66D"	5.55563061400433e-16	-0.585328641224704	0.072	0.228	1.63013313476115e-11	"Ast"	"FAM66D"
"ATP5D"	6.33342990781275e-16	0.616145202688299	0.149	0.06	1.85835500355042e-11	"Ast"	"ATP5D"
"HYDIN"	1.13173960742818e-15	-0.513101511210861	0.162	0.356	3.32075035611576e-11	"Ast"	"HYDIN"
"VEGFA"	1.80001809521197e-15	0.912549799908479	0.266	0.154	5.28161309497096e-11	"Ast"	"VEGFA"
"MT-CYB"	2.00675017191086e-15	-0.653010765534513	0.183	0.378	5.88820635442085e-11	"Ast"	"MT-CYB"
"NDRG2"	9.22951024198084e-15	0.461878356354299	0.802	0.787	2.70812289520202e-10	"Ast"	"NDRG2"
"ARL17B"	1.7758712877984e-14	-0.488198715190016	0.243	0.448	5.21076153265806e-10	"Ast"	"ARL17B"
"NEBL"	2.57584715295939e-14	-0.378637938333986	0.644	0.832	7.55805071621344e-10	"Ast"	"NEBL"
"ATP2B2"	3.14948298187146e-14	-0.555948459333961	0.245	0.443	9.24121296540724e-10	"Ast"	"ATP2B2"
"ACADVL"	5.07572199749524e-14	0.560496704575553	0.59	0.531	1.48931834850505e-09	"Ast"	"ACADVL"
"FAM182B"	5.44365468281152e-14	-0.487113448006455	0.255	0.462	1.59727715703056e-09	"Ast"	"FAM182B"
"LINC01094"	6.70171718370611e-14	-0.52960881985965	0.198	0.385	1.96641785604305e-09	"Ast"	"LINC01094"
"PDZD2"	1.11444131687714e-13	-0.429313470821827	0.408	0.627	3.26999371198091e-09	"Ast"	"PDZD2"
"FAM19A5"	1.55527643764934e-13	-0.463274626875295	0.205	0.398	4.56349212335069e-09	"Ast"	"FAM19A5"
"WWOX"	1.76688648420307e-13	-0.344243477845254	0.804	0.911	5.18439832194865e-09	"Ast"	"WWOX"
"DGKI"	2.04113851282723e-13	-0.545937851009126	0.192	0.373	5.98910862433765e-09	"Ast"	"DGKI"
"ACOT11"	2.22083063774275e-13	-0.468605601094684	0.417	0.623	6.51636125726479e-09	"Ast"	"ACOT11"
"CD82"	2.61889270212616e-13	-0.528364971672945	0.034	0.15	7.68435496657857e-09	"Ast"	"CD82"
"AQP4-AS1"	2.99974982629439e-13	-0.460342420592065	0.291	0.495	8.80186594031299e-09	"Ast"	"AQP4-AS1"
"KANTR"	3.68538609347444e-13	-0.462391376656473	0.104	0.258	1.08136598754727e-08	"Ast"	"KANTR"
"CLEC16A"	3.74181070475184e-13	-0.433316273315535	0.318	0.538	1.09792209698829e-08	"Ast"	"CLEC16A"
"SORBS1"	4.03707718969531e-13	-0.340067820726922	0.727	0.872	1.1845591890004e-08	"Ast"	"SORBS1"
"RP11-26J3.1"	4.38422773741291e-13	-0.552331628725537	0.086	0.227	1.2864201027117e-08	"Ast"	"RP11-26J3.1"
"HEPN1"	4.63810714175765e-13	0.592624484653646	0.487	0.404	1.36091339753453e-08	"Ast"	"HEPN1"
"SERPINI2"	5.56650279102569e-13	-0.489823079056086	0.191	0.371	1.63332324894276e-08	"Ast"	"SERPINI2"
"JUN"	7.84785586543186e-13	0.734185094576806	0.412	0.31	2.30271786803502e-08	"Ast"	"JUN"
"NME3"	8.08753865969751e-13	0.664235165152754	0.243	0.142	2.37304559352844e-08	"Ast"	"NME3"
"DNAH7"	8.36167869137686e-13	-0.470226895083532	0.205	0.389	2.4534837616238e-08	"Ast"	"DNAH7"
"HIVEP3"	1.17847049675735e-12	-0.506408019945989	0.171	0.341	3.45786813158541e-08	"Ast"	"HIVEP3"
"GRM5"	1.24133926018259e-12	-0.484134759629916	0.146	0.311	3.64233765722776e-08	"Ast"	"GRM5"
"HDAC10"	1.39315539868349e-12	0.513218721878615	0.101	0.037	4.08779657081711e-08	"Ast"	"HDAC10"
"PRKCA"	1.45906096048313e-12	-0.320266505724515	0.622	0.81	4.28117667024961e-08	"Ast"	"PRKCA"
"TTTY10"	1.86978745125822e-12	-0.482798860158368	0.009	0.1	5.48633033948188e-08	"Ast"	"TTTY10"
"VWA3A"	2.1546382520424e-12	-0.53174453555217	0.04	0.152	6.3221395591428e-08	"Ast"	"VWA3A"
"TMEM108"	2.3199515335942e-12	-0.484452371126287	0.205	0.385	6.80720178987209e-08	"Ast"	"TMEM108"
"FKBP5"	2.40746473727789e-12	-0.432071208679248	0.212	0.401	7.06398303212079e-08	"Ast"	"FKBP5"
"ARNT2"	2.49642555569423e-12	-0.476921663969844	0.304	0.502	7.32501186551801e-08	"Ast"	"ARNT2"
"MIR219A2"	4.92618113705268e-12	0.577376156591756	0.167	0.082	1.445440069234e-07	"Ast"	"MIR219A2"
"GABPB1-AS1"	5.27687545353897e-12	-0.424358617318051	0.147	0.312	1.54834079557741e-07	"Ast"	"GABPB1-AS1"
"CCDC148"	5.28345322337811e-12	-0.483312537715644	0.036	0.144	1.55027084480361e-07	"Ast"	"CCDC148"
"ARMC3"	5.33593747521075e-12	-0.519941221265593	0.018	0.113	1.56567077397634e-07	"Ast"	"ARMC3"
"FRMPD2"	5.92260551175702e-12	-0.414554551926429	0.183	0.36	1.73781090925975e-07	"Ast"	"FRMPD2"
"LGR6"	7.52349767078513e-12	-0.515153682915818	0.135	0.284	2.20754468656177e-07	"Ast"	"LGR6"
"MT-CO1"	8.95804451329226e-12	-0.524147237662052	0.18	0.348	2.62846942109022e-07	"Ast"	"MT-CO1"
"COL27A1"	9.3480679068841e-12	-0.436840109350531	0.191	0.364	2.74291008523793e-07	"Ast"	"COL27A1"
"GFAP"	1.2189428193528e-11	-0.256154601910914	0.621	0.795	3.57662202054498e-07	"Ast"	"GFAP"
"ACSBG1"	1.22864705547805e-11	-0.431013909944702	0.527	0.714	3.60509619018368e-07	"Ast"	"ACSBG1"
"SNRNP70"	1.27473473638972e-11	0.531977582785021	0.527	0.462	3.74032666351473e-07	"Ast"	"SNRNP70"
"C1orf56"	1.6085897467262e-11	0.571411127190545	0.151	0.073	4.71992403484401e-07	"Ast"	"C1orf56"
