"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"XIST"	0	1.90084513667211	0.418	0.01	0	"Mig"	"XIST"	"Temporal lobe"
"MALAT1"	1.00631063656709e-104	0.492483611764124	0.985	0.98	3.29445976199335e-100	"Mig"	"MALAT1"	"Temporal lobe"
"MAB21L3"	3.34753643848025e-74	-0.853119506424632	0.912	0.946	1.09591647922966e-69	"Mig"	"MAB21L3"	"Temporal lobe"
"HLA-DRB5"	1.43083772306342e-71	-1.19087798698056	0.146	0.329	4.68427653776501e-67	"Mig"	"HLA-DRB5"	"Temporal lobe"
"RP11-346D14.1"	3.11712425324694e-68	-0.801175029468348	0.746	0.843	1.02048413802798e-63	"Mig"	"RP11-346D14.1"	"Temporal lobe"
"SPP1"	1.19187578887498e-60	0.881834097824586	0.813	0.699	3.90196295761891e-56	"Mig"	"SPP1"	"Temporal lobe"
"LINC00504"	1.06212993133178e-55	-0.705563812939864	0.771	0.854	3.47720096919397e-51	"Mig"	"LINC00504"	"Temporal lobe"
"AC092669.3"	8.29306157354721e-53	-0.888115101837172	0.681	0.79	2.71498249794789e-48	"Mig"	"AC092669.3"	"Temporal lobe"
"RP3-323A16.1"	2.41625835194796e-51	-0.796705745610953	0.832	0.876	7.91034659260724e-47	"Mig"	"RP3-323A16.1"	"Temporal lobe"
"RP11-382B18.1"	1.40024135880779e-50	-0.865622637591141	0.573	0.703	4.58411016046496e-46	"Mig"	"RP11-382B18.1"	"Temporal lobe"
"RP11-624A21.1"	1.8088305201648e-49	-0.888414564883877	0.521	0.666	5.92174935691554e-45	"Mig"	"RP11-624A21.1"	"Temporal lobe"
"DDX3Y"	3.75785058490956e-47	-0.516977544852624	0.04	0.151	1.23024512448769e-42	"Mig"	"DDX3Y"	"Temporal lobe"
"RP11-609N14.4"	1.22333557500877e-45	-0.683481858274415	0.394	0.55	4.0049560054637e-41	"Mig"	"RP11-609N14.4"	"Temporal lobe"
"KCNQ1OT1"	1.43403870437549e-44	-0.648819129781625	0.848	0.885	4.69475591038447e-40	"Mig"	"KCNQ1OT1"	"Temporal lobe"
"RP4-598P13.1"	5.12364831540842e-42	-0.730569635192558	0.453	0.599	1.67737998549841e-37	"Mig"	"RP4-598P13.1"	"Temporal lobe"
"KDM5D"	1.14992400710273e-40	-0.436168844818488	0.018	0.1	3.76462121445292e-36	"Mig"	"KDM5D"	"Temporal lobe"
"RASEF"	1.63274844809994e-40	-0.709635623212503	0.29	0.446	5.34529186938958e-36	"Mig"	"RASEF"	"Temporal lobe"
"UGDH-AS1"	6.90286713527393e-36	-0.662900774793818	0.687	0.757	2.25986064274598e-31	"Mig"	"UGDH-AS1"	"Temporal lobe"
"RP11-17A4.2"	2.06977507892702e-35	-0.706574150567313	0.21	0.346	6.77602965339126e-31	"Mig"	"RP11-17A4.2"	"Temporal lobe"
"RPAP2"	2.49950465619547e-35	-0.54837069814978	0.558	0.665	8.18287834345272e-31	"Mig"	"RPAP2"	"Temporal lobe"
"BLOC1S6"	8.89961014140788e-35	-0.752396156521017	0.714	0.771	2.91355436809411e-30	"Mig"	"BLOC1S6"	"Temporal lobe"
"TBC1D8B"	1.05744937906999e-34	-0.572458654036547	0.562	0.683	3.46187777719934e-30	"Mig"	"TBC1D8B"	"Temporal lobe"
"RP11-142G1.3"	9.97605890148622e-34	-0.617311459426109	0.367	0.504	3.26596216316856e-29	"Mig"	"RP11-142G1.3"	"Temporal lobe"
"AC006548.28"	3.76106646496479e-32	-0.587485170525653	0.691	0.755	1.23129793930017e-27	"Mig"	"AC006548.28"	"Temporal lobe"
"TMSB4X"	6.82933304803572e-31	0.258531108691057	0.94	0.933	2.23578705326594e-26	"Mig"	"TMSB4X"	"Temporal lobe"
"NEAT1"	2.20898070189104e-30	0.3019812949493	0.919	0.889	7.23176102185089e-26	"Mig"	"NEAT1"	"Temporal lobe"
"RP11-703G6.1"	4.10808377857004e-30	-0.610926236173095	0.628	0.723	1.34490446742826e-25	"Mig"	"RP11-703G6.1"	"Temporal lobe"
"CDKN1A"	3.68178414496947e-28	0.655632013032432	0.362	0.238	1.2053424933801e-23	"Mig"	"CDKN1A"	"Temporal lobe"
"RP11-501E14.1"	9.7355540060481e-28	-0.532075872525248	0.156	0.268	3.18722567050003e-23	"Mig"	"RP11-501E14.1"	"Temporal lobe"
"MT-CO1"	1.78626813070523e-27	-0.228523342218875	0.989	0.994	5.84788460630278e-23	"Mig"	"MT-CO1"	"Temporal lobe"
"RP3-467D16.3"	7.96174691094737e-27	-0.575935089091699	0.156	0.264	2.60651670370595e-22	"Mig"	"RP3-467D16.3"	"Temporal lobe"
"RP11-259O2.3"	3.17842696008689e-26	-0.685835808907271	0.495	0.588	1.04055341819325e-21	"Mig"	"RP11-259O2.3"	"Temporal lobe"
"RP11-54H7.4"	1.31961672866752e-25	-0.652427702550853	0.214	0.327	4.32016124631174e-21	"Mig"	"RP11-54H7.4"	"Temporal lobe"
