"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"XIST"	2.30478755558703e-190	3.19314478500889	0.557	0.003	2.48087332483388e-186	"Ast"	"XIST"	"N"
"MALAT1"	4.54810599269931e-30	0.707861847997631	1	1	4.89558129054153e-26	"Ast"	"MALAT1"	"N"
"UTY"	2.45418514512107e-17	-1.71849029113904	0.011	0.323	2.64168489020831e-13	"Ast"	"UTY"	"N"
"CACNB2"	3.4654117234009e-17	-1.05144513849326	0.335	0.692	3.73016917906873e-13	"Ast"	"CACNB2"	"N"
"TTTY14"	6.83011257336737e-16	-1.70706198789824	0.006	0.293	7.35193317397264e-12	"Ast"	"TTTY14"	"N"
"NLGN4Y"	6.62909752643961e-13	-1.47707811683553	0.006	0.245	7.13556057745959e-09	"Ast"	"NLGN4Y"	"N"
"DLG2"	8.25414050659885e-12	-0.644750316644168	0.528	0.808	8.884756841303e-08	"Ast"	"DLG2"	"N"
"FBXL7"	1.3168763626726e-11	-0.603263568612457	0.511	0.788	1.41748571678079e-07	"Ast"	"FBXL7"	"N"
"FAM155A"	1.51586906448496e-11	-0.629618154037499	0.5	0.783	1.63168146101161e-07	"Ast"	"FAM155A"	"N"
"C10orf11"	1.86462145231354e-11	-1.03965475471221	0.188	0.467	2.0070785312703e-07	"Ast"	"C10orf11"	"N"
"NRXN1"	6.98050720989617e-11	-0.461619436888297	0.881	0.952	7.51381796073224e-07	"Ast"	"NRXN1"	"N"
"SLC1A2"	7.88366065820047e-11	-0.527401589551291	0.869	0.942	8.48597233248698e-07	"Ast"	"SLC1A2"	"N"
"LINC00499"	6.4088908194103e-10	0.845855402495739	0.722	0.599	6.89853007801324e-06	"Ast"	"LINC00499"	"N"
"C1orf56"	6.6594578684859e-10	0.895798518650879	0.142	0.038	7.16824044963822e-06	"Ast"	"C1orf56"	"N"
"RP11-317N12.1"	1.49114861553759e-09	-0.838120176470353	0.17	0.428	1.60507236976466e-05	"Ast"	"RP11-317N12.1"	"N"
"LINGO1"	1.76147172294525e-09	1.19080838968725	0.54	0.401	1.89604816257826e-05	"Ast"	"LINGO1"	"N"
"CADM2"	3.39939575238336e-09	-0.433535167266354	0.778	0.948	3.65910958786545e-05	"Ast"	"CADM2"	"N"
"JPX"	9.90017629266527e-09	0.990918303054601	0.392	0.24	0.000106565497614249	"Ast"	"JPX"	"N"
"SLC1A3"	1.00274298283704e-08	-0.449193050208428	0.795	0.947	0.000107935254672579	"Ast"	"SLC1A3"	"N"
