"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"NEAT1"	7.56398621820109e-59	2.35858732798403	1	0.688	8.14187476527166e-55	"Ast"	"NEAT1"	"female"	"Entorhinal Cortex"
"NRXN1"	5.07518661087421e-42	-2.38298627662312	0.514	0.881	5.462930867945e-38	"Ast"	"NRXN1"	"female"	"Entorhinal Cortex"
"LINC00499"	3.81468938595866e-34	-2.6483921096085	0.192	0.722	4.1061316550459e-30	"Ast"	"LINC00499"	"female"	"Entorhinal Cortex"
"GFAP"	7.07297522837217e-28	1.50236601246277	0.91	0.415	7.6133505358198e-24	"Ast"	"GFAP"	"female"	"Entorhinal Cortex"
"GPM6A"	2.79368053524811e-26	-1.1043591114102	0.882	0.972	3.00711772814107e-22	"Ast"	"GPM6A"	"female"	"Entorhinal Cortex"
"HIF3A"	3.97263197544113e-24	1.4763638445645	0.853	0.409	4.27614105836483e-20	"Ast"	"HIF3A"	"female"	"Entorhinal Cortex"
"NKAIN3"	1.00090585268647e-23	-1.82049352777366	0.445	0.778	1.07737505983171e-19	"Ast"	"NKAIN3"	"female"	"Entorhinal Cortex"
"SLC1A2"	3.52813794541351e-22	-1.54322917443088	0.776	0.869	3.7976876844431e-18	"Ast"	"SLC1A2"	"female"	"Entorhinal Cortex"
"GOLGB1"	3.11943527900292e-21	1.65866746524643	0.637	0.153	3.35776013431875e-17	"Ast"	"GOLGB1"	"female"	"Entorhinal Cortex"
"LSAMP-AS1"	8.08728311724267e-20	-2.41520554763997	0.127	0.483	8.70515154740001e-16	"Ast"	"LSAMP-AS1"	"female"	"Entorhinal Cortex"
"C1orf61"	8.99175004180866e-20	-1.95988863613933	0.261	0.631	9.67871974500284e-16	"Ast"	"C1orf61"	"female"	"Entorhinal Cortex"
"PLEKHA5"	1.15087327019666e-19	1.79459770461593	0.637	0.199	1.23879998803968e-15	"Ast"	"PLEKHA5"	"female"	"Entorhinal Cortex"
"MAOB"	8.21873884180642e-19	2.21990656582875	0.486	0.08	8.84665048932043e-15	"Ast"	"MAOB"	"female"	"Entorhinal Cortex"
"LSAMP"	1.3775618615737e-18	-0.755859276631984	0.984	0.989	1.48280758779793e-14	"Ast"	"LSAMP"	"female"	"Entorhinal Cortex"
"APOE"	3.01047302694579e-18	-1.53153053818787	0.584	0.801	3.24047316620445e-14	"Ast"	"APOE"	"female"	"Entorhinal Cortex"
"ADGRB3"	4.53564076878039e-18	-1.28000953077802	0.669	0.835	4.88216372351521e-14	"Ast"	"ADGRB3"	"female"	"Entorhinal Cortex"
"PLCE1"	1.17058702060071e-17	1.77089467161935	0.461	0.074	1.2600198689746e-13	"Ast"	"PLCE1"	"female"	"Entorhinal Cortex"
"SLC39A11"	2.64153405095694e-17	1.22061407466742	0.657	0.222	2.84334725245005e-13	"Ast"	"SLC39A11"	"female"	"Entorhinal Cortex"
"GPC5"	1.73702387121918e-16	-1.01713389678083	0.841	0.898	1.86973249498033e-12	"Ast"	"GPC5"	"female"	"Entorhinal Cortex"
"CH17-189H20.1"	2.08933021025964e-16	1.33748814604843	0.731	0.347	2.24895503832348e-12	"Ast"	"CH17-189H20.1"	"female"	"Entorhinal Cortex"
"SLC6A1-AS1"	4.24682161688242e-16	-1.75449653383313	0.016	0.284	4.57127878841224e-12	"Ast"	"SLC6A1-AS1"	"female"	"Entorhinal Cortex"
