"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"LINGO1"	7.93286355447153e-251	4.16551486356781	0.983	0.401	8.53893433003315e-247	"Ast"	"LINGO1"	"male"	"Entorhinal Cortex"
"HSPA1A"	4.27381207826971e-170	2.98714643601787	0.816	0.234	4.60033132104951e-166	"Ast"	"HSPA1A"	"male"	"Entorhinal Cortex"
"LINC00486"	5.3551482833655e-164	1.6926268462755	0.985	0.992	5.76428161221463e-160	"Ast"	"LINC00486"	"male"	"Entorhinal Cortex"
"GFAP"	6.63819431927785e-133	2.30291142576932	0.864	0.413	7.14535236527067e-129	"Ast"	"GFAP"	"male"	"Entorhinal Cortex"
"NRXN1"	2.57250013245623e-128	-1.7335991429313	0.566	0.952	2.76903914257589e-124	"Ast"	"NRXN1"	"male"	"Entorhinal Cortex"
"NTM"	1.17149656618733e-126	-1.45652255190109	0.605	0.985	1.26099890384404e-122	"Ast"	"NTM"	"male"	"Entorhinal Cortex"
"NEAT1"	3.1291325531651e-126	1.89672574348246	0.925	0.794	3.36819828022691e-122	"Ast"	"NEAT1"	"male"	"Entorhinal Cortex"
"NKAIN3"	5.24151130627637e-125	-2.22539500056493	0.238	0.878	5.64196277007588e-121	"Ast"	"NKAIN3"	"male"	"Entorhinal Cortex"
"RNF219-AS1"	9.54519298105067e-124	-2.08520402134393	0.236	0.884	1.02744457248029e-119	"Ast"	"RNF219-AS1"	"male"	"Entorhinal Cortex"
"GPC5"	2.87354202214873e-121	-1.71701125127683	0.574	0.943	3.09308063264089e-117	"Ast"	"GPC5"	"male"	"Entorhinal Cortex"
"CRYAB"	1.30924309330338e-120	2.48589621606257	0.802	0.392	1.40926926563176e-116	"Ast"	"CRYAB"	"male"	"Entorhinal Cortex"
"MALAT1"	2.44512215152415e-117	-1.04669419163716	1	1	2.6319294839006e-113	"Ast"	"MALAT1"	"male"	"Entorhinal Cortex"
"BOK"	1.37345842034579e-108	2.86016883183063	0.395	0.032	1.47839064366021e-104	"Ast"	"BOK"	"male"	"Entorhinal Cortex"
"SLC1A2"	6.81200372603035e-105	-1.61091504313502	0.643	0.942	7.33244081069907e-101	"Ast"	"SLC1A2"	"male"	"Entorhinal Cortex"
"LSAMP"	6.99234496796302e-91	-0.919191034114026	0.873	1	7.52656012351539e-87	"Ast"	"LSAMP"	"male"	"Entorhinal Cortex"
"MT-CO2"	6.9184327075436e-90	2.33490677766332	0.664	0.27	7.44700096639993e-86	"Ast"	"MT-CO2"	"male"	"Entorhinal Cortex"
"HSPB1"	1.59365990706087e-87	1.99243605012945	0.676	0.256	1.71541552396032e-83	"Ast"	"HSPB1"	"male"	"Entorhinal Cortex"
"MT-ND4"	3.88210996359267e-86	2.11849155632281	0.708	0.324	4.17870316481115e-82	"Ast"	"MT-ND4"	"male"	"Entorhinal Cortex"
"DNAJB2"	9.68333541793314e-85	2.58893002009493	0.516	0.138	1.04231422438632e-80	"Ast"	"DNAJB2"	"male"	"Entorhinal Cortex"
"GPM6A"	4.9805332571223e-84	-1.04618785652834	0.701	0.988	5.36104599796645e-80	"Ast"	"GPM6A"	"male"	"Entorhinal Cortex"
"ADGRV1"	2.90484385896632e-81	-1.18751466708966	0.612	0.967	3.12677392979134e-77	"Ast"	"ADGRV1"	"male"	"Entorhinal Cortex"
"LSAMP-AS1"	3.42467878829374e-75	-2.45921811514999	0.046	0.535	3.68632424771938e-71	"Ast"	"LSAMP-AS1"	"male"	"Entorhinal Cortex"
"AC002429.5"	5.57020155997647e-72	-2.32184973146844	0.021	0.499	5.99576495915867e-68	"Ast"	"AC002429.5"	"male"	"Entorhinal Cortex"
"SPP1"	1.96148165630508e-69	2.48366139556585	0.47	0.14	2.11133885484679e-65	"Ast"	"SPP1"	"male"	"Entorhinal Cortex"
"SGCD"	3.16222121196749e-69	-1.7682273370092	0.115	0.618	3.40381491256181e-65	"Ast"	"SGCD"	"male"	"Entorhinal Cortex"
"MGAT4C"	3.40256213294964e-69	-1.4129161318983	0.242	0.76	3.66251787990699e-65	"Ast"	"MGAT4C"	"male"	"Entorhinal Cortex"
"HSP90AA1"	1.0470740411403e-68	2.08234208029617	0.658	0.328	1.12707049788342e-64	"Ast"	"HSP90AA1"	"male"	"Entorhinal Cortex"
"TENM2"	1.05142509649955e-68	-1.30438115995224	0.244	0.768	1.13175397387211e-64	"Ast"	"TENM2"	"male"	"Entorhinal Cortex"
"CTNNA2"	3.68468798346948e-68	-1.09650131565681	0.733	0.977	3.96619814540655e-64	"Ast"	"CTNNA2"	"male"	"Entorhinal Cortex"
"PDE4D"	1.90363945256868e-67	-1.32866178250351	0.251	0.757	2.04907750674492e-63	"Ast"	"PDE4D"	"male"	"Entorhinal Cortex"
"LRRC4C"	7.05955038763211e-66	-1.49169537004272	0.209	0.71	7.5989000372472e-62	"Ast"	"LRRC4C"	"male"	"Entorhinal Cortex"
"MT-ATP6"	6.95932457693508e-65	2.19768405400323	0.505	0.169	7.49101697461292e-61	"Ast"	"MT-ATP6"	"male"	"Entorhinal Cortex"
"PPP2R2B"	2.35163185871601e-64	-0.942162260890498	0.599	0.958	2.53129653272192e-60	"Ast"	"PPP2R2B"	"male"	"Entorhinal Cortex"
"RORA"	1.37120049677753e-63	-0.917314197678357	0.641	0.968	1.47596021473133e-59	"Ast"	"RORA"	"male"	"Entorhinal Cortex"
"GLUD1"	2.49004876010506e-63	-1.58306950961871	0.167	0.645	2.68028848537708e-59	"Ast"	"GLUD1"	"male"	"Entorhinal Cortex"
"MBP"	5.45581980562342e-63	2.08937083203797	0.587	0.274	5.87264443877304e-59	"Ast"	"MBP"	"male"	"Entorhinal Cortex"
"SLC6A1-AS1"	8.4247067487097e-63	-1.97711342924543	0.029	0.467	9.06835434431112e-59	"Ast"	"SLC6A1-AS1"	"male"	"Entorhinal Cortex"
"TNIK"	9.54066158406986e-63	-1.13993436883011	0.457	0.888	1.02695681290928e-58	"Ast"	"TNIK"	"male"	"Entorhinal Cortex"
"PREX2"	2.95812509743721e-62	-1.29913462081983	0.232	0.733	3.18412585488141e-58	"Ast"	"PREX2"	"male"	"Entorhinal Cortex"
"FAM155A"	2.33178688861992e-60	-1.28439689123071	0.299	0.783	2.50993540691049e-56	"Ast"	"FAM155A"	"male"	"Entorhinal Cortex"
"PTGDS"	4.33998935578697e-60	1.08082862889239	0.929	0.944	4.6715645425691e-56	"Ast"	"PTGDS"	"male"	"Entorhinal Cortex"
"PAMR1"	6.52843622799724e-60	-1.59323906181208	0.109	0.574	7.02720875581622e-56	"Ast"	"PAMR1"	"male"	"Entorhinal Cortex"
"SPARCL1"	1.31351853981725e-59	-1.21668340171179	0.405	0.842	1.41387135625929e-55	"Ast"	"SPARCL1"	"male"	"Entorhinal Cortex"
"MIR99AHG"	1.43223765572872e-59	-0.867174296612444	0.572	0.944	1.5416606126264e-55	"Ast"	"MIR99AHG"	"male"	"Entorhinal Cortex"
"C1orf61"	6.65064582460461e-59	-1.2356079725402	0.299	0.782	7.1587551656044e-55	"Ast"	"C1orf61"	"male"	"Entorhinal Cortex"
"DNAJB1"	1.1726159243597e-58	2.25210083343694	0.432	0.128	1.26220378098078e-54	"Ast"	"DNAJB1"	"male"	"Entorhinal Cortex"
"ETNPPL"	2.10207181144354e-58	-1.64540831209447	0.096	0.546	2.26267009783782e-54	"Ast"	"ETNPPL"	"male"	"Entorhinal Cortex"
"MT-CO3"	5.92737963565169e-58	1.79603653586846	0.628	0.328	6.38023143981548e-54	"Ast"	"MT-CO3"	"male"	"Entorhinal Cortex"
"NTRK2"	8.60502071492133e-58	-0.993616201114045	0.501	0.912	9.26244429754131e-54	"Ast"	"NTRK2"	"male"	"Entorhinal Cortex"
"FBXL7"	9.81859421812198e-58	-1.23781005643837	0.322	0.788	1.05687348163865e-53	"Ast"	"FBXL7"	"male"	"Entorhinal Cortex"
"MT-CYB"	3.17962106058847e-57	2.13767385190435	0.505	0.19	3.42254410961743e-53	"Ast"	"MT-CYB"	"male"	"Entorhinal Cortex"
"LINC00461"	7.68440460023751e-57	-1.30674004262404	0.167	0.639	8.27149311169566e-53	"Ast"	"LINC00461"	"male"	"Entorhinal Cortex"
"CTNND2"	4.95898132335505e-56	-0.823567530375911	0.656	0.977	5.33784749645938e-52	"Ast"	"CTNND2"	"male"	"Entorhinal Cortex"
"QDPR"	4.96349096986112e-56	2.21154027487584	0.476	0.18	5.34270167995851e-52	"Ast"	"QDPR"	"male"	"Entorhinal Cortex"
"DLC1"	7.74781208421697e-56	-1.3805827027427	0.278	0.733	8.33974492745114e-52	"Ast"	"DLC1"	"male"	"Entorhinal Cortex"
"APOE"	1.52183764926391e-55	-1.33930990612163	0.461	0.865	1.63810604566767e-51	"Ast"	"APOE"	"male"	"Entorhinal Cortex"
"CNTN2"	8.70704478625291e-55	2.25925633681009	0.372	0.097	9.37226300792263e-51	"Ast"	"CNTN2"	"male"	"Entorhinal Cortex"
"CSGALNACT1"	8.06533069190776e-54	-1.17909860498227	0.23	0.698	8.68152195676951e-50	"Ast"	"CSGALNACT1"	"male"	"Entorhinal Cortex"
"HSP90AB1"	1.53871567813698e-53	2.1212168103049	0.441	0.151	1.65627355594664e-49	"Ast"	"HSP90AB1"	"male"	"Entorhinal Cortex"
"DPP10"	4.14758224686789e-53	-1.22155548456341	0.645	0.941	4.46445753052859e-49	"Ast"	"DPP10"	"male"	"Entorhinal Cortex"
"GABRB1"	5.56267794983153e-53	-1.07051269972708	0.349	0.826	5.98766654519866e-49	"Ast"	"GABRB1"	"male"	"Entorhinal Cortex"
"MT-ND2"	1.46317585440565e-52	2.13353004722351	0.489	0.192	1.57496248968224e-48	"Ast"	"MT-ND2"	"male"	"Entorhinal Cortex"
"MAGI2"	7.85601768754784e-52	-0.890387319143242	0.574	0.942	8.4562174388765e-48	"Ast"	"MAGI2"	"male"	"Entorhinal Cortex"
"ADGRB3"	7.77899366889126e-51	-0.880092889743512	0.57	0.925	8.37330878519455e-47	"Ast"	"ADGRB3"	"male"	"Entorhinal Cortex"
"NCKAP5"	1.3738358062928e-50	-1.24813327171801	0.184	0.632	1.47879686189357e-46	"Ast"	"NCKAP5"	"male"	"Entorhinal Cortex"
"APC"	1.82680956222278e-50	-1.13159596395398	0.207	0.657	1.96637781277659e-46	"Ast"	"APC"	"male"	"Entorhinal Cortex"
"CTC-498M16.4"	5.08174518957593e-50	-1.60308213698035	0.056	0.449	5.46999052205953e-46	"Ast"	"CTC-498M16.4"	"male"	"Entorhinal Cortex"
"FUT9"	1.52197437372218e-49	-1.02958270486332	0.324	0.781	1.63825321587455e-45	"Ast"	"FUT9"	"male"	"Entorhinal Cortex"
"PLP1"	1.99134200036465e-49	1.72187425250213	0.641	0.417	2.14348052919251e-45	"Ast"	"PLP1"	"male"	"Entorhinal Cortex"
"LRRC16A"	4.22779787336319e-49	-1.02842475998345	0.221	0.676	4.55080163088813e-45	"Ast"	"LRRC16A"	"male"	"Entorhinal Cortex"
"OPHN1"	3.25692794832981e-47	-1.12024804258454	0.257	0.69	3.50575724358221e-43	"Ast"	"OPHN1"	"male"	"Entorhinal Cortex"
"ESRRG"	3.99106430364507e-47	-1.15949897541083	0.121	0.549	4.29598161644356e-43	"Ast"	"ESRRG"	"male"	"Entorhinal Cortex"
"MT-ND1"	5.86918668144038e-46	2.00412635837337	0.367	0.113	6.31759254390242e-42	"Ast"	"MT-ND1"	"male"	"Entorhinal Cortex"
"USP39"	1.17408027582254e-45	-1.28176898507301	0.098	0.488	1.26378000889538e-41	"Ast"	"USP39"	"male"	"Entorhinal Cortex"
"NPAS3"	1.26161597632083e-45	-0.605412107114425	0.829	0.993	1.35800343691175e-41	"Ast"	"NPAS3"	"male"	"Entorhinal Cortex"
"RANGAP1"	1.53393972299218e-45	1.72669777156678	0.217	0.028	1.65113271782878e-41	"Ast"	"RANGAP1"	"male"	"Entorhinal Cortex"
"MSI2"	2.4567029633884e-45	-0.935200621017274	0.384	0.811	2.64439506979127e-41	"Ast"	"MSI2"	"male"	"Entorhinal Cortex"
"ERBB4"	2.62544694558882e-45	-0.745256951275029	0.693	0.962	2.8260310922318e-41	"Ast"	"ERBB4"	"male"	"Entorhinal Cortex"
"AC016716.2"	2.92896660707811e-45	-1.57639226815346	0.065	0.428	3.15273965585888e-41	"Ast"	"AC016716.2"	"male"	"Entorhinal Cortex"
"ARHGAP24"	4.96142040460429e-45	-1.38823866850715	0.088	0.463	5.34047292351606e-41	"Ast"	"ARHGAP24"	"male"	"Entorhinal Cortex"
"HES1"	2.142292816884e-44	-2.00967603254205	0.033	0.372	2.30596398809393e-40	"Ast"	"HES1"	"male"	"Entorhinal Cortex"
"AEBP1"	2.6125721001826e-44	1.9901615507528	0.443	0.179	2.81217260863655e-40	"Ast"	"AEBP1"	"male"	"Entorhinal Cortex"
"NHSL1"	5.29393114525246e-43	-1.03917457231136	0.213	0.63	5.69838748474975e-39	"Ast"	"NHSL1"	"male"	"Entorhinal Cortex"
"CACHD1"	2.52302212482463e-42	-1.152035550016	0.159	0.549	2.71578101516123e-38	"Ast"	"CACHD1"	"male"	"Entorhinal Cortex"
