"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"	"region"
"XIST"	1.9409398522414e-93	3.19787197671383	0.69	0	2.08922765695265e-89	"Ast"	"XIST"	"AD"	"Entorhinal Cortex"
"LINGO1"	2.94995608932306e-92	-2.86568334030495	0.731	0.983	3.17533273454735e-88	"Ast"	"LINGO1"	"AD"	"Entorhinal Cortex"
"MALAT1"	5.96875505957032e-92	1.90666070267722	1	1	6.4247679461215e-88	"Ast"	"MALAT1"	"AD"	"Entorhinal Cortex"
"HSPA1A"	1.85403979290892e-73	-4.08776827443624	0.094	0.816	1.99568843308716e-69	"Ast"	"HSPA1A"	"AD"	"Entorhinal Cortex"
"LINC00486"	4.83166423123213e-63	-1.42597281156375	0.988	0.985	5.20080337849827e-59	"Ast"	"LINC00486"	"AD"	"Entorhinal Cortex"
"GOLGB1"	9.93862636656124e-61	2.12276677566934	0.637	0.058	1.06979374209665e-56	"Ast"	"GOLGB1"	"AD"	"Entorhinal Cortex"
"PTGDS"	2.83400811951994e-57	-1.92826926196668	0.788	0.929	3.05052633985126e-53	"Ast"	"PTGDS"	"AD"	"Entorhinal Cortex"
"HES1"	4.01044519744406e-49	2.9062321779571	0.482	0.033	4.31684321052879e-45	"Ast"	"HES1"	"AD"	"Entorhinal Cortex"
"CRYAB"	1.26216641978011e-46	-2.35821231592414	0.433	0.802	1.35859593425131e-42	"Ast"	"CRYAB"	"AD"	"Entorhinal Cortex"
"RFX3-AS1"	3.62764642511137e-41	1.84832417022593	0.453	0.042	3.90479861198987e-37	"Ast"	"RFX3-AS1"	"AD"	"Entorhinal Cortex"
"AHI1"	6.11035734640932e-40	1.42561559856067	0.661	0.148	6.57718864767499e-36	"Ast"	"AHI1"	"AD"	"Entorhinal Cortex"
"ID2"	3.12100611155666e-38	2.2611845276983	0.457	0.056	3.35945097847959e-34	"Ast"	"ID2"	"AD"	"Entorhinal Cortex"
"CH17-189H20.1"	3.9902789204685e-38	1.63331478206709	0.731	0.234	4.29513622999229e-34	"Ast"	"CH17-189H20.1"	"AD"	"Entorhinal Cortex"
"WWOX"	1.91823817321499e-37	1.1751874970524	0.943	0.482	2.06479156964861e-33	"Ast"	"WWOX"	"AD"	"Entorhinal Cortex"
"HSP90AA1"	8.45643191339521e-36	-2.76313546991389	0.269	0.658	9.10250331157861e-32	"Ast"	"HSP90AA1"	"AD"	"Entorhinal Cortex"
"MT-ND4"	3.64713131593198e-33	-1.9604192020633	0.371	0.708	3.92577214846918e-29	"Ast"	"MT-ND4"	"AD"	"Entorhinal Cortex"
"MT-CO2"	1.25513228181211e-32	-2.2061069344776	0.282	0.664	1.35102438814256e-28	"Ast"	"MT-CO2"	"AD"	"Entorhinal Cortex"
"SLC14A1"	1.05604891123993e-31	1.42938795195539	0.645	0.19	1.13673104805866e-27	"Ast"	"SLC14A1"	"AD"	"Entorhinal Cortex"
"DPP10"	4.09027606229211e-31	1.05503201693415	0.971	0.645	4.40277315345123e-27	"Ast"	"DPP10"	"AD"	"Entorhinal Cortex"
"USP39"	9.62757315277674e-31	1.3139847223274	0.498	0.098	1.03631197416489e-26	"Ast"	"USP39"	"AD"	"Entorhinal Cortex"
"ANKDD1A"	5.79691401966226e-30	1.25805259624707	0.473	0.084	6.23979825076446e-26	"Ast"	"ANKDD1A"	"AD"	"Entorhinal Cortex"
"MT-CO3"	1.86553736207441e-29	-2.0729150794439	0.261	0.628	2.00806441653689e-25	"Ast"	"MT-CO3"	"AD"	"Entorhinal Cortex"
"MBP"	5.31417989221907e-29	-2.37019279050699	0.212	0.587	5.72018323598461e-25	"Ast"	"MBP"	"AD"	"Entorhinal Cortex"
"SLC39A11"	5.38999603264344e-29	1.14238559712467	0.657	0.203	5.8017917295374e-25	"Ast"	"SLC39A11"	"AD"	"Entorhinal Cortex"
"L3MBTL4"	5.64427287721749e-29	1.30421840433976	0.412	0.061	6.0754953250369e-25	"Ast"	"L3MBTL4"	"AD"	"Entorhinal Cortex"
"MT2A"	1.84153260056058e-28	1.22785429144919	0.906	0.539	1.9822256912434e-24	"Ast"	"MT2A"	"AD"	"Entorhinal Cortex"
"MIR4300HG"	2.2245832456743e-28	1.3996273869277	0.478	0.1	2.39454140564382e-24	"Ast"	"MIR4300HG"	"AD"	"Entorhinal Cortex"
"PLP1"	2.60446822770899e-28	-2.15562552183707	0.314	0.641	2.80344960030596e-24	"Ast"	"PLP1"	"AD"	"Entorhinal Cortex"
"DNAJB2"	5.61941004387496e-28	-2.61830805383699	0.131	0.516	6.04873297122701e-24	"Ast"	"DNAJB2"	"AD"	"Entorhinal Cortex"
"BOK"	6.53897343203599e-28	-3.02657198937997	0.012	0.395	7.03855100224354e-24	"Ast"	"BOK"	"AD"	"Entorhinal Cortex"
"DNAJB1"	2.94701850424315e-27	-2.87844753660411	0.049	0.432	3.17217071796733e-23	"Ast"	"DNAJB1"	"AD"	"Entorhinal Cortex"
"LINC00609"	3.0480571213007e-27	1.55298976726512	0.453	0.094	3.28092868536807e-23	"Ast"	"LINC00609"	"AD"	"Entorhinal Cortex"
"MT3"	5.84390745218759e-27	-1.61654770770393	0.539	0.733	6.29038198153472e-23	"Ast"	"MT3"	"AD"	"Entorhinal Cortex"
"PRKG1"	2.33896404216661e-26	1.02647669106405	0.833	0.428	2.51766089498814e-22	"Ast"	"PRKG1"	"AD"	"Entorhinal Cortex"
"ABR"	6.46373692526341e-26	1.23096263299031	0.482	0.111	6.95756642635354e-22	"Ast"	"ABR"	"AD"	"Entorhinal Cortex"
