"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"NEAT1"	7.56398621820109e-59	2.35858732798403	1	0.688	8.14187476527166e-55	"Ast"	"NEAT1"	"60-70"	"female"
"NRXN1"	5.07518661087421e-42	-2.38298627662312	0.514	0.881	5.462930867945e-38	"Ast"	"NRXN1"	"60-70"	"female"
"LINC00499"	3.81468938595866e-34	-2.6483921096085	0.192	0.722	4.1061316550459e-30	"Ast"	"LINC00499"	"60-70"	"female"
"GFAP"	7.07297522837217e-28	1.50236601246277	0.91	0.415	7.6133505358198e-24	"Ast"	"GFAP"	"60-70"	"female"
"GPM6A"	2.79368053524811e-26	-1.1043591114102	0.882	0.972	3.00711772814107e-22	"Ast"	"GPM6A"	"60-70"	"female"
"HIF3A"	3.97263197544113e-24	1.4763638445645	0.853	0.409	4.27614105836483e-20	"Ast"	"HIF3A"	"60-70"	"female"
"NKAIN3"	1.00090585268647e-23	-1.82049352777366	0.445	0.778	1.07737505983171e-19	"Ast"	"NKAIN3"	"60-70"	"female"
"SLC1A2"	3.52813794541351e-22	-1.54322917443088	0.776	0.869	3.7976876844431e-18	"Ast"	"SLC1A2"	"60-70"	"female"
"GOLGB1"	3.11943527900292e-21	1.65866746524643	0.637	0.153	3.35776013431875e-17	"Ast"	"GOLGB1"	"60-70"	"female"
"LSAMP-AS1"	8.08728311724267e-20	-2.41520554763997	0.127	0.483	8.70515154740001e-16	"Ast"	"LSAMP-AS1"	"60-70"	"female"
"C1orf61"	8.99175004180866e-20	-1.95988863613933	0.261	0.631	9.67871974500284e-16	"Ast"	"C1orf61"	"60-70"	"female"
"PLEKHA5"	1.15087327019666e-19	1.79459770461593	0.637	0.199	1.23879998803968e-15	"Ast"	"PLEKHA5"	"60-70"	"female"
"MAOB"	8.21873884180642e-19	2.21990656582875	0.486	0.08	8.84665048932043e-15	"Ast"	"MAOB"	"60-70"	"female"
"LSAMP"	1.3775618615737e-18	-0.755859276631984	0.984	0.989	1.48280758779793e-14	"Ast"	"LSAMP"	"60-70"	"female"
"APOE"	3.01047302694579e-18	-1.53153053818787	0.584	0.801	3.24047316620445e-14	"Ast"	"APOE"	"60-70"	"female"
"ADGRB3"	4.53564076878039e-18	-1.28000953077802	0.669	0.835	4.88216372351521e-14	"Ast"	"ADGRB3"	"60-70"	"female"
"PLCE1"	1.17058702060071e-17	1.77089467161935	0.461	0.074	1.2600198689746e-13	"Ast"	"PLCE1"	"60-70"	"female"
"SLC39A11"	2.64153405095694e-17	1.22061407466742	0.657	0.222	2.84334725245005e-13	"Ast"	"SLC39A11"	"60-70"	"female"
"GPC5"	1.73702387121918e-16	-1.01713389678083	0.841	0.898	1.86973249498033e-12	"Ast"	"GPC5"	"60-70"	"female"
"CH17-189H20.1"	2.08933021025964e-16	1.33748814604843	0.731	0.347	2.24895503832348e-12	"Ast"	"CH17-189H20.1"	"60-70"	"female"
"SLC6A1-AS1"	4.24682161688242e-16	-1.75449653383313	0.016	0.284	4.57127878841224e-12	"Ast"	"SLC6A1-AS1"	"60-70"	"female"
"WIF1"	4.25185652183584e-16	-1.99563700062954	0.004	0.256	4.5766983601041e-12	"Ast"	"WIF1"	"60-70"	"female"
"SLC14A1"	5.18268944694588e-16	1.50697245862551	0.645	0.25	5.57864692069255e-12	"Ast"	"SLC14A1"	"60-70"	"female"
"ERBB4"	8.40763014292095e-16	-1.00243592203881	0.833	0.886	9.04997308584011e-12	"Ast"	"ERBB4"	"60-70"	"female"
"IGFBP7"	9.06160811612699e-16	1.74969025862222	0.408	0.057	9.7539149761991e-12	"Ast"	"IGFBP7"	"60-70"	"female"
"PTGDS"	1.76079362574921e-15	-1.12556336439983	0.788	0.886	1.89531825875645e-11	"Ast"	"PTGDS"	"60-70"	"female"
"VCAN"	7.10520974078415e-15	1.44302824607659	0.531	0.148	7.64804776498006e-11	"Ast"	"VCAN"	"60-70"	"female"
"FTH1"	9.11444915686893e-15	-1.18923845472906	0.833	0.852	9.81079307245372e-11	"Ast"	"FTH1"	"60-70"	"female"
"PCDH9"	9.8214821086321e-15	-0.631917969199336	0.976	0.977	1.05718433417316e-10	"Ast"	"PCDH9"	"60-70"	"female"
"MAP1B"	1.12844972982309e-14	1.38420786113016	0.457	0.091	1.21466328918157e-10	"Ast"	"MAP1B"	"60-70"	"female"
"FKBP5"	1.36842604972532e-14	1.56061467181651	0.384	0.051	1.47297379992434e-10	"Ast"	"FKBP5"	"60-70"	"female"
"ITGB4"	2.42245451580637e-14	1.39090247544758	0.498	0.125	2.60753004081398e-10	"Ast"	"ITGB4"	"60-70"	"female"
"NTM"	2.87048148152484e-14	-0.7617540614599	0.886	0.938	3.08978626671333e-10	"Ast"	"NTM"	"60-70"	"female"
"GRM3"	7.57310085319245e-14	-1.82962327017157	0.061	0.33	8.15168575837635e-10	"Ast"	"GRM3"	"60-70"	"female"
"RHPN1"	1.81889905097451e-13	1.54322746519084	0.457	0.119	1.95786293846896e-09	"Ast"	"RHPN1"	"60-70"	"female"
"AHNAK"	2.49067699724426e-13	1.45586377227963	0.416	0.085	2.68096471983373e-09	"Ast"	"AHNAK"	"60-70"	"female"
"RP11-514P8.6"	4.79357968421329e-13	1.40069355558222	0.31	0.023	5.15980917208718e-09	"Ast"	"RP11-514P8.6"	"60-70"	"female"
"ARHGEF4"	5.30734822866397e-13	0.876158169779489	0.767	0.415	5.71282963333390e-09	"Ast"	"ARHGEF4"	"60-70"	"female"
"AHI1"	5.42595825777192e-13	1.1021751431197	0.661	0.284	5.8405014686657e-09	"Ast"	"AHI1"	"60-70"	"female"
"ANKDD1A"	6.13485386306433e-13	1.25660592787374	0.473	0.125	6.60355669820245e-09	"Ast"	"ANKDD1A"	"60-70"	"female"
"COL21A1"	1.02095724922697e-12	1.41810729157362	0.363	0.057	1.09895838306791e-08	"Ast"	"COL21A1"	"60-70"	"female"
"DLC1"	1.1998567958323e-12	-1.67141953059353	0.408	0.619	1.29152585503389e-08	"Ast"	"DLC1"	"60-70"	"female"
"SLCO3A1"	1.48489361937164e-12	1.41123039030787	0.367	0.062	1.59833949189163e-08	"Ast"	"SLCO3A1"	"60-70"	"female"
"SPARCL1"	1.74856614316655e-12	-1.16742591155117	0.649	0.778	1.88215659650447e-08	"Ast"	"SPARCL1"	"60-70"	"female"
"PDE4DIP"	1.88824326952172e-12	0.907232221949512	0.837	0.517	2.03250505531318e-08	"Ast"	"PDE4DIP"	"60-70"	"female"
"PTN"	2.55612224683182e-12	-1.65541718957944	0.114	0.392	2.75140998648977e-08	"Ast"	"PTN"	"60-70"	"female"
"AC002429.5"	7.37097288533872e-12	-1.49518248558446	0.127	0.403	7.93411521377859e-08	"Ast"	"AC002429.5"	"60-70"	"female"
"L3MBTL4"	8.65273134210961e-12	1.09637681494286	0.412	0.091	9.31380001664679e-08	"Ast"	"L3MBTL4"	"60-70"	"female"
"LINC-PINT"	8.861058227958e-12	1.05787844853131	0.576	0.222	9.53804307657399e-08	"Ast"	"LINC-PINT"	"60-70"	"female"
