"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"HSPA1B"	6.84857102597754e-275	2.30497820082665	0.924	0.517	1.58530722109328e-270	"Mig"	"HSPA1B"	"AD"
"HSP90AA1"	2.02365831399655e-220	2.7823933129434	0.78	0.36	4.6843642652392e-216	"Mig"	"HSP90AA1"	"AD"
"HSPA1A"	1.47264868773416e-212	3.1956711000529	0.554	0.072	3.40888718236704e-208	"Mig"	"HSPA1A"	"AD"
"HAMP"	7.11902460303421e-150	-2.51801921779871	0.022	0.315	1.64791181511036e-145	"Mig"	"HAMP"	"AD"
"HSP90AA6P"	6.64272220305941e-132	2.33999850443564	0.356	0.035	1.53765733556419e-127	"Mig"	"HSP90AA6P"	"AD"
"HSPH1"	1.11226878526158e-113	2.5019848364331	0.421	0.098	2.5746797841235e-109	"Mig"	"HSPH1"	"AD"
"DUSP1"	3.07904649589037e-99	2.26739989954656	0.35	0.067	7.12737682868703e-95	"Mig"	"DUSP1"	"AD"
"IRF2BPL"	6.88289845987061e-94	-2.09784485539146	0.071	0.316	1.59325333549085e-89	"Mig"	"IRF2BPL"	"AD"
"IFI6"	3.35183697750812e-76	-1.59173139350665	0.244	0.504	7.75883223553579e-72	"Mig"	"IFI6"	"AD"
"DNAJB1"	9.96336138689495e-75	2.62474202409063	0.226	0.023	2.30631889383844e-70	"Mig"	"DNAJB1"	"AD"
"HSPB1"	2.84667140348556e-70	1.77034614614571	0.26	0.047	6.58947496478839e-66	"Mig"	"HSPB1"	"AD"
"HLA-B"	1.18445438458115e-69	-1.26151346191171	0.267	0.525	2.74177500942844e-65	"Mig"	"HLA-B"	"AD"
"C1QB"	7.16818955875132e-67	-1.07341970418853	0.422	0.669	1.65929251905976e-62	"Mig"	"C1QB"	"AD"
"PADI2"	3.575365545126e-60	-1.02158012988548	0.469	0.698	8.27625616385765e-56	"Mig"	"PADI2"	"AD"
"EGR1"	1.28202953411702e-59	1.74114557132423	0.202	0.027	2.96764196557408e-55	"Mig"	"EGR1"	"AD"
"HLA-DRB5"	1.49736089258704e-58	-2.408150414457	0.119	0.319	3.46609099416049e-54	"Mig"	"HLA-DRB5"	"AD"
"FCGR1B"	3.27686980946137e-58	-1.35448323772771	0.121	0.328	7.58529823494118e-54	"Mig"	"FCGR1B"	"AD"
"C1QA"	1.42361345804778e-55	-1.18896849659893	0.261	0.489	3.29538043268901e-51	"Mig"	"C1QA"	"AD"
