"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"HSPA1B"	3.86129959038736e-85	-3.3368952427093	0.692	0.992	8.93813629182867e-81	"Mig"	"HSPA1B"	"80-90"
"COX1"	2.13657352454387e-47	2.22425208206117	0.736	0.118	4.94574039461416e-43	"Mig"	"COX1"	"80-90"
"TMSB10"	2.61793670849381e-45	2.7366982844788	0.659	0.077	6.05999989282146e-41	"Mig"	"TMSB10"	"80-90"
"CD14"	4.26348523022865e-45	2.86017522868659	0.649	0.069	9.86911561093327e-41	"Mig"	"CD14"	"80-90"
"HLA-DRB5"	4.98175748131844e-44	2.82145935403036	0.606	0.045	1.15317722177559e-39	"Mig"	"HLA-DRB5"	"80-90"
"FTL"	3.00275862241642e-43	2.04278172888311	0.886	0.573	6.95078565916954e-39	"Mig"	"FTL"	"80-90"
"PFN1"	6.84559120030592e-43	1.67233809544784	0.623	0.057	1.58461745104681e-38	"Mig"	"PFN1"	"80-90"
"HAMP"	2.42905391198968e-42	2.31901354713023	0.619	0.057	5.62277399547371e-38	"Mig"	"HAMP"	"80-90"
"FPR1"	2.07790873424624e-40	2.55631862663281	0.6	0.057	4.80994313803321e-36	"Mig"	"FPR1"	"80-90"
"OAZ1"	4.86134697502709e-37	1.86473372365258	0.588	0.069	1.12530459777927e-32	"Mig"	"OAZ1"	"80-90"
"MTCO1P12"	2.34355219150119e-36	1.98505326770001	0.607	0.098	5.42485461288695e-32	"Mig"	"MTCO1P12"	"80-90"
"ATP5F1E"	1.76535456532594e-33	2.11177024640074	0.588	0.102	4.08644274781648e-29	"Mig"	"ATP5F1E"	"80-90"
"SLC2A5"	6.95453056220618e-33	1.49367163517233	0.606	0.11	1.60983473453949e-28	"Mig"	"SLC2A5"	"80-90"
"FCER1G"	3.15866395175212e-32	1.2663157634115	0.657	0.15	7.3116753155158e-28	"Mig"	"FCER1G"	"80-90"
"APOC1"	1.04456205255569e-31	1.8506826206626	0.558	0.085	2.4179522392559e-27	"Mig"	"APOC1"	"80-90"
"CYBA"	3.08583770084639e-31	1.83522165047431	0.598	0.122	7.14309710991922e-27	"Mig"	"CYBA"	"80-90"
"IFITM3"	5.04296593531418e-31	3.09494275397329	0.434	0.016	1.16734575470653e-26	"Mig"	"IFITM3"	"80-90"
"FTH1P10"	1.11217361019993e-30	1.2456772654653	0.682	0.183	2.57445947289081e-26	"Mig"	"FTH1P10"	"80-90"
"SLC25A37"	5.08557376971123e-30	1.35695037165589	0.71	0.256	1.17720861621276e-25	"Mig"	"SLC25A37"	"80-90"
"H2AC18"	5.84548381300502e-30	3.13829998421315	0.452	0.033	1.3531125930344e-25	"Mig"	"H2AC18"	"80-90"
"H2AC19"	1.75029351057945e-29	3.22829323747496	0.446	0.033	4.05157941828932e-25	"Mig"	"H2AC19"	"80-90"
"SERF2"	1.76636832414311e-29	1.40257053214852	0.59	0.126	4.08878939672648e-25	"Mig"	"SERF2"	"80-90"
"SLC11A1"	9.67535640372641e-29	2.78058631930358	0.41	0.016	2.23965150033459e-24	"Mig"	"SLC11A1"	"80-90"
"RGS1"	1.78274273035568e-28	1.56558100824318	0.458	0.037	4.12669287222733e-24	"Mig"	"RGS1"	"80-90"
"SLC1A3"	1.83626334612748e-28	1.30575336980629	0.732	0.236	4.25058239361589e-24	"Mig"	"SLC1A3"	"80-90"
"LAPTM5"	2.84954171478701e-28	1.31524191907101	0.69	0.232	6.59611916138897e-24	"Mig"	"LAPTM5"	"80-90"
"CYTB"	1.29663886468367e-26	0.27836781709804	0.708	0.224	3.00145964396976e-22	"Mig"	"CYTB"	"80-90"
"IFITM2"	4.01374265834992e-26	1.74424306603545	0.42	0.037	9.2910115055484e-22	"Mig"	"IFITM2"	"80-90"
"ALOX5AP"	4.78964607668968e-26	1.36234756014002	0.56	0.138	1.10870727383213e-21	"Mig"	"ALOX5AP"	"80-90"
"COL6A3"	4.85787083637638e-26	-1.60868141813707	0.639	0.821	1.1244999412044e-21	"Mig"	"COL6A3"	"80-90"
"FTH1P2"	6.69528803144925e-26	0.92679602116854	0.582	0.142	1.54982527351987e-21	"Mig"	"FTH1P2"	"80-90"
"HCLS1"	7.54088838347275e-26	2.07577931837106	0.467	0.065	1.74556484300627e-21	"Mig"	"HCLS1"	"80-90"
"ARPC2"	2.16599441667144e-25	0.905827071444508	0.538	0.11	5.01384387571105e-21	"Mig"	"ARPC2"	"80-90"
