"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"PTGDS"	0	-1.71477873928325	0.743	0.959	0	"Ast"	"PTGDS"	"male"
"MALAT1"	0	1.68763052943253	0.996	0.99	0	"Ast"	"MALAT1"	"male"
"HEPN1"	6.58821418803218e-278	1.98157583294098	0.369	0.024	2.21304702790189e-273	"Ast"	"HEPN1"	"male"
"LSAMP-AS1"	7.21794709490263e-271	2.15132169878176	0.329	0.006	2.42458060864874e-266	"Ast"	"LSAMP-AS1"	"male"
"PCDH9-AS2"	1.86519047869318e-269	2.05571951607033	0.373	0.035	6.26536133697825e-265	"Ast"	"PCDH9-AS2"	"male"
"AC016716.2"	2.61784173432826e-239	1.75600028510053	0.335	0.026	8.79359216978207e-235	"Ast"	"AC016716.2"	"male"
"FTH1"	4.20200029515987e-215	1.21107382301739	0.52	0.165	1.41149391914715e-210	"Ast"	"FTH1"	"male"
"RP11-39M21.1"	2.49897574100058e-205	1.7836344435107	0.275	0.011	8.39430941159504e-201	"Ast"	"RP11-39M21.1"	"male"
"AP000462.2"	1.70182496069417e-186	1.705488512663	0.282	0.025	5.7166002254678e-182	"Ast"	"AP000462.2"	"male"
"MT2A"	4.32094012689439e-183	1.2677445054483	0.572	0.25	1.45144699802509e-178	"Ast"	"MT2A"	"male"
"RP11-144F15.1"	7.80394875931008e-183	1.46020478097466	0.281	0.027	2.62142442773985e-178	"Ast"	"RP11-144F15.1"	"male"
"CTD-2282P23.2"	5.19308434974205e-164	1.39930722472109	0.303	0.052	1.74440896392185e-159	"Ast"	"CTD-2282P23.2"	"male"
"PRKG1"	1.06020482256612e-163	0.800383229130646	0.574	0.239	3.56133401948186e-159	"Ast"	"PRKG1"	"male"
"PDXDC1"	6.38790956489022e-159	0.984653673917824	0.337	0.073	2.14576270194227e-154	"Ast"	"PDXDC1"	"male"
"AP000487.6"	7.68224563744492e-154	1.2461489347345	0.26	0.032	2.58054313207412e-149	"Ast"	"AP000487.6"	"male"
"P2RY14"	3.743349071763e-152	1.49729063600576	0.218	0.011	1.25742838669591e-147	"Ast"	"P2RY14"	"male"
"SLC6A1-AS1"	8.63616649181982e-147	1.0893747841738	0.289	0.053	2.90097468626719e-142	"Ast"	"SLC6A1-AS1"	"male"
"TBC1D19"	1.07809550195761e-143	0.850135439701746	0.35	0.092	3.62143060062581e-139	"Ast"	"TBC1D19"	"male"
"DLC1"	2.02751232193293e-142	0.952273686288218	0.485	0.199	6.81061664060489e-138	"Ast"	"DLC1"	"male"
"RAB11A"	2.50757938662828e-141	1.0258350098993	0.323	0.077	8.42320991762306e-137	"Ast"	"RAB11A"	"male"
"MT-CO3"	2.09376157021479e-139	-0.853470827428474	0.556	0.708	7.03315449050851e-135	"Ast"	"MT-CO3"	"male"
"PRKCA-AS1"	8.06175887817274e-139	1.45890728036794	0.216	0.017	2.70802542476701e-134	"Ast"	"PRKCA-AS1"	"male"
"NEAT1"	2.50310527055215e-137	0.984786567537355	0.767	0.515	8.40818091431174e-133	"Ast"	"NEAT1"	"male"
"CH507-513H4.1"	3.19700662927984e-135	-1.45031870321193	0.175	0.356	1.07390649684139e-130	"Ast"	"CH507-513H4.1"	"male"
"PDE5A"	2.34209445734865e-134	1.13911293434623	0.221	0.022	7.86732949167984e-130	"Ast"	"PDE5A"	"male"
"AC016831.7"	1.45611363914797e-129	0.998073875196644	0.237	0.034	4.89123132526195e-125	"Ast"	"AC016831.7"	"male"
"N4BP2L2"	4.71567075073951e-129	0.584947976143755	0.45	0.165	1.58404096188091e-124	"Ast"	"N4BP2L2"	"male"
"PAPPA2"	3.04903329589314e-124	0.999545090299092	0.215	0.025	1.02420077442346e-119	"Ast"	"PAPPA2"	"male"
"GNA14-AS1"	7.31677778249046e-124	1.31310686106806	0.231	0.036	2.45777882491637e-119	"Ast"	"GNA14-AS1"	"male"
"RP11-472M19.2"	2.15259283500462e-123	1.67209374216856	0.2	0.018	7.230774592064e-119	"Ast"	"RP11-472M19.2"	"male"
"KNOP1"	8.54986026934108e-121	1.10090730502864	0.224	0.033	2.87198356307436e-116	"Ast"	"KNOP1"	"male"
"MGST1"	8.11454903697137e-118	0.610834121069812	0.341	0.104	2.72575816700905e-113	"Ast"	"MGST1"	"male"
"DOCK7"	1.55243687925285e-117	0.623906092795145	0.343	0.105	5.21479072109826e-113	"Ast"	"DOCK7"	"male"
"NUMB"	8.46656595943193e-117	0.720403793869988	0.3	0.08	2.84400417143278e-112	"Ast"	"NUMB"	"male"
"CH17-189H20.1"	6.33252304726463e-115	0.644251053379289	0.357	0.118	2.12715781680666e-110	"Ast"	"CH17-189H20.1"	"male"
"LINGO1"	2.86436431302263e-114	-0.584333980392857	0.821	0.83	9.62168616387433e-110	"Ast"	"LINGO1"	"male"
"FTL"	3.8488640906044e-114	0.761848625396159	0.419	0.162	1.29287193667492e-109	"Ast"	"FTL"	"male"
"SSBP2"	2.74955679990446e-107	0.608601281897483	0.31	0.092	9.23603624655908e-103	"Ast"	"SSBP2"	"male"
"MT1E"	7.25761721265903e-107	0.842428559561677	0.333	0.113	2.43790619790429e-102	"Ast"	"MT1E"	"male"
"IPO9-AS1"	1.03415257860891e-106	1.09287604942947	0.167	0.011	3.4738219268052e-102	"Ast"	"IPO9-AS1"	"male"
"RORA-AS1"	1.53893413281148e-105	1.04164008980173	0.165	0.011	5.16943364552706e-101	"Ast"	"RORA-AS1"	"male"
"TRPM3"	1.62990183962091e-105	0.515304708915662	0.613	0.314	5.47500326947059e-101	"Ast"	"TRPM3"	"male"
"SRSF5"	1.80897614333324e-105	0.57258282515602	0.294	0.084	6.07653176307068e-101	"Ast"	"SRSF5"	"male"
"A2ML1-AS1"	1.15625910163933e-104	1.03526467693185	0.151	0.004	3.88398994831668e-100	"Ast"	"A2ML1-AS1"	"male"
"FGFR3"	1.23528696352641e-104	-1.18625798632096	0.364	0.491	4.14945243918157e-100	"Ast"	"FGFR3"	"male"
"LRP4"	6.51667262246079e-104	0.499240167804986	0.625	0.326	2.1890155006108e-99	"Ast"	"LRP4"	"male"
"RAPH1"	7.49672869237474e-104	0.836712454204401	0.191	0.026	2.5182261350556e-99	"Ast"	"RAPH1"	"male"
"AQP4"	1.01547033683836e-102	0.561007710634198	0.453	0.195	3.41106640847373e-98	"Ast"	"AQP4"	"male"
"RP11-197K3.1"	9.91230854846769e-100	0.786606740131679	0.196	0.031	3.32964356451578e-95	"Ast"	"RP11-197K3.1"	"male"
"WSB1"	1.7740615218377e-99	0.523531973399608	0.3	0.092	5.95925005800501e-95	"Ast"	"WSB1"	"male"
"CRLF3"	7.79042027353953e-99	0.839257061354337	0.184	0.025	2.61688007408466e-94	"Ast"	"CRLF3"	"male"
"PPP1R9A"	9.14889451351512e-98	0.59435901338043	0.309	0.102	3.07320515603486e-93	"Ast"	"PPP1R9A"	"male"
