"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"	"gender"
"PTGDS"	0	-1.81852846606547	0.71	0.95	0	"Ast"	"PTGDS"	"brain region: Entorhinal cortex"	"male"
"MALAT1"	2.77550093455189e-243	1.77408037936038	0.994	0.987	9.32318518925326e-239	"Ast"	"MALAT1"	"brain region: Entorhinal cortex"	"male"
"LSAMP-AS1"	8.6524312705526e-108	2.38580793424179	0.35	0.006	2.90643818809132e-103	"Ast"	"LSAMP-AS1"	"brain region: Entorhinal cortex"	"male"
"HEPN1"	4.76632254249984e-107	2.24120892972649	0.369	0.017	1.60105540525112e-102	"Ast"	"HEPN1"	"brain region: Entorhinal cortex"	"male"
"PCDH9-AS2"	7.04523723025207e-104	2.17460853942875	0.375	0.027	2.36656563801397e-99	"Ast"	"PCDH9-AS2"	"brain region: Entorhinal cortex"	"male"
"AC016716.2"	8.53776749870041e-100	2.01719847300166	0.354	0.019	2.86792148048845e-95	"Ast"	"AC016716.2"	"brain region: Entorhinal cortex"	"male"
"MT-CO3"	1.47447641403054e-95	-1.05728540905346	0.525	0.761	4.95291372236998e-91	"Ast"	"MT-CO3"	"brain region: Entorhinal cortex"	"male"
"MT2A"	3.2173736559409e-91	1.39759002821254	0.601	0.218	1.08074798476711e-86	"Ast"	"MT2A"	"brain region: Entorhinal cortex"	"male"
"FTH1"	4.43648580218716e-89	1.37343160848763	0.504	0.135	1.49025994581269e-84	"Ast"	"FTH1"	"brain region: Entorhinal cortex"	"male"
"CH507-513H4.1"	3.52797073341879e-85	-1.76668273490808	0.158	0.39	1.1850806490627e-80	"Ast"	"CH507-513H4.1"	"brain region: Entorhinal cortex"	"male"
"NPTXR"	1.23176160221343e-83	-1.91443869257525	0.039	0.187	4.13761039799514e-79	"Ast"	"NPTXR"	"brain region: Entorhinal cortex"	"male"
"CBARP"	5.26755182948076e-81	-1.71828494369634	0.022	0.142	1.76942333504088e-76	"Ast"	"CBARP"	"brain region: Entorhinal cortex"	"male"
"PRKG1"	1.00972588579338e-77	0.927366959528512	0.614	0.23	3.39177022296854e-73	"Ast"	"PRKG1"	"brain region: Entorhinal cortex"	"male"
"LINGO1"	1.74918337595405e-76	-0.871171630480237	0.813	0.822	5.87568187816723e-72	"Ast"	"LINGO1"	"brain region: Entorhinal cortex"	"male"
"RP11-144F15.1"	8.8484106038622e-74	1.7418713922793	0.29	0.021	2.97226960594335e-69	"Ast"	"RP11-144F15.1"	"brain region: Entorhinal cortex"	"male"
"BCYRN1"	5.31779557090114e-71	-1.24988131506483	0.416	0.603	1.7863007102214e-66	"Ast"	"BCYRN1"	"brain region: Entorhinal cortex"	"male"
"RP11-39M21.1"	3.55284832653201e-70	1.76671389074894	0.252	0.006	1.19343728136537e-65	"Ast"	"RP11-39M21.1"	"brain region: Entorhinal cortex"	"male"
"AP000462.2"	5.41560034186462e-69	1.77646095438488	0.297	0.033	1.81915431083574e-64	"Ast"	"AP000462.2"	"brain region: Entorhinal cortex"	"male"
"P2RY14"	2.94835896453399e-63	1.80019569501772	0.235	0.008	9.90383259776611e-59	"Ast"	"P2RY14"	"brain region: Entorhinal cortex"	"male"
"HES4"	5.17637379810411e-63	-1.64269334123795	0.029	0.14	1.73879572252115e-58	"Ast"	"HES4"	"brain region: Entorhinal cortex"	"male"
"PDXDC1"	9.08788784747144e-63	1.10612456272184	0.323	0.057	3.05271240684413e-58	"Ast"	"PDXDC1"	"brain region: Entorhinal cortex"	"male"
"RAB11A"	7.34425400166416e-62	1.25234739015044	0.34	0.071	2.46700836169901e-57	"Ast"	"RAB11A"	"brain region: Entorhinal cortex"	"male"
"DOCK7"	9.04884227370573e-62	1.03148510699701	0.333	0.064	3.03959660816049e-57	"Ast"	"DOCK7"	"brain region: Entorhinal cortex"	"male"
"CTD-2282P23.2"	1.39227908469307e-61	1.49664614761259	0.305	0.052	4.67680467339248e-57	"Ast"	"CTD-2282P23.2"	"brain region: Entorhinal cortex"	"male"
"TBC1D19"	4.61930462317874e-60	1.00533742420597	0.364	0.089	1.55167061597197e-55	"Ast"	"TBC1D19"	"brain region: Entorhinal cortex"	"male"
"AP000487.6"	1.45942817024131e-59	1.44483592294007	0.261	0.029	4.90236516665758e-55	"Ast"	"AP000487.6"	"brain region: Entorhinal cortex"	"male"
"RP11-472M19.2"	3.33685061588549e-59	2.38506493753795	0.23	0.012	1.12088149038209e-54	"Ast"	"RP11-472M19.2"	"brain region: Entorhinal cortex"	"male"
"NFIA"	1.14900632294255e-58	0.675278050345596	0.623	0.265	3.85962713939631e-54	"Ast"	"NFIA"	"brain region: Entorhinal cortex"	"male"
"MT-CO1"	1.54501914577032e-57	-1.13991244703483	0.392	0.573	5.18987381255708e-53	"Ast"	"MT-CO1"	"brain region: Entorhinal cortex"	"male"
"N4BP2L2"	6.59256430600574e-57	0.6681420262594	0.432	0.134	2.21450827603039e-52	"Ast"	"N4BP2L2"	"brain region: Entorhinal cortex"	"male"
"MT1E"	3.71834766298678e-56	1.13933311879783	0.318	0.066	1.24903016347389e-51	"Ast"	"MT1E"	"brain region: Entorhinal cortex"	"male"
"AQP4"	9.59249025565854e-56	0.735750223367644	0.493	0.179	3.22221340177826e-51	"Ast"	"AQP4"	"brain region: Entorhinal cortex"	"male"
"PAPPA2"	1.34444898658709e-55	1.26102754684981	0.24	0.023	4.51613859084469e-51	"Ast"	"PAPPA2"	"brain region: Entorhinal cortex"	"male"
"PRKCA-AS1"	1.47061822045109e-54	1.70165068786709	0.23	0.02	4.93995366431727e-50	"Ast"	"PRKCA-AS1"	"brain region: Entorhinal cortex"	"male"
"GRIN1"	1.82587742201189e-54	-1.49471562197026	0.1	0.258	6.13330484828014e-50	"Ast"	"GRIN1"	"brain region: Entorhinal cortex"	"male"
"DPYSL2"	3.52787403349994e-51	0.670814813104124	0.402	0.126	1.18504816659297e-46	"Ast"	"DPYSL2"	"brain region: Entorhinal cortex"	"male"
"MT-CO2"	1.87196834722297e-50	-0.841397925462736	0.495	0.656	6.28812887515668e-46	"Ast"	"MT-CO2"	"brain region: Entorhinal cortex"	"male"
"MEG3"	6.96698817973822e-50	-1.29437972049336	0.28	0.448	2.34028099945587e-45	"Ast"	"MEG3"	"brain region: Entorhinal cortex"	"male"
"PDE5A"	2.41919235914792e-49	1.18906376561496	0.207	0.014	8.12630905361379e-45	"Ast"	"PDE5A"	"brain region: Entorhinal cortex"	"male"
