"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"PTGDS"	7.97416929711245e-199	-2.04328988004063	0.723	0.969	2.67860320859304e-194	"Mig"	"PTGDS"	"70-80"	"male"
"MALAT1"	9.25820611069107e-146	2.48145366982673	0.992	0.978	3.10992401464224e-141	"Mig"	"MALAT1"	"70-80"	"male"
"MT-ND3"	2.97137260977392e-88	-1.9586866048879	0.348	0.656	9.98113773349159e-84	"Mig"	"MT-ND3"	"70-80"	"male"
"DLC1"	3.43132559251595e-74	1.77591204013306	0.551	0.089	1.15261657978203e-69	"Mig"	"DLC1"	"70-80"	"male"
"MT-ATP6"	1.92469251334228e-71	-1.80827237149709	0.315	0.595	6.46523462156807e-67	"Mig"	"MT-ATP6"	"70-80"	"male"
"MT-ND4"	9.17319023724326e-69	-1.49512095381238	0.449	0.705	3.08136633259238e-64	"Mig"	"MT-ND4"	"70-80"	"male"
"LSAMP-AS1"	6.54002172090504e-63	2.37471884648658	0.36	0	2.19685869626921e-58	"Mig"	"LSAMP-AS1"	"70-80"	"male"
"HEPN1"	2.13773738021984e-62	2.0801426185914	0.392	0.018	7.18087363389645e-58	"Mig"	"HEPN1"	"70-80"	"male"
"PCDH9-AS2"	3.23426805185647e-62	2.323967990944	0.376	0.011	1.08642298129911e-57	"Mig"	"PCDH9-AS2"	"70-80"	"male"
"MT-CO3"	1.21879579959502e-59	-1.21179487265282	0.506	0.735	4.09405697041964e-55	"Mig"	"MT-CO3"	"70-80"	"male"
"MT-CYB"	2.94642167466778e-59	-1.66052766355596	0.32	0.573	9.89732504737654e-55	"Mig"	"MT-CYB"	"70-80"	"male"
"CH507-513H4.1"	1.06179572430059e-52	-1.78522945911577	0.151	0.38	3.56667801749813e-48	"Mig"	"CH507-513H4.1"	"70-80"	"male"
"BCYRN1"	2.76351447488239e-52	-1.97546308095059	0.384	0.591	9.28292147257744e-48	"Mig"	"BCYRN1"	"70-80"	"male"
"MT-ND2"	4.27134467141301e-52	-1.57380829794926	0.369	0.589	1.43478738857434e-47	"Mig"	"MT-ND2"	"70-80"	"male"
"GFAP"	7.34443820381472e-52	-1.53096230201625	0.474	0.633	2.4670702370434e-47	"Mig"	"GFAP"	"70-80"	"male"
"AC016716.2"	7.5407840721145e-52	1.87145865719869	0.338	0.015	2.53302477766398e-47	"Mig"	"AC016716.2"	"70-80"	"male"
"RP11-39M21.1"	1.15792092171366e-50	1.99649062645669	0.319	0.007	3.88957216812837e-46	"Mig"	"RP11-39M21.1"	"70-80"	"male"
"ANGPTL4"	2.41756172347769e-48	-2.07371827782271	0.251	0.455	8.12083158533391e-44	"Mig"	"ANGPTL4"	"70-80"	"male"
