"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"GRID2"	0	1.4578972699987	0.289	0.002	0	"Ast"	"GRID2"	"GBM"
"XIST"	0	3.21264078266417	0.814	0	0	"Ast"	"XIST"	"GBM"
"WIPF3"	2.81493627658475e-84	0.306549106971883	0.155	0.004	9.41145794713346e-80	"Ast"	"WIPF3"	"GBM"
"GLDN"	7.67702221744133e-74	2.05050827356515	0.546	0.075	2.56673560817933e-69	"Ast"	"GLDN"	"GBM"
"MT-ND3"	1.61610045541869e-42	-1.98420570009736	0.959	0.995	5.40327026264685e-38	"Ast"	"MT-ND3"	"GBM"
"HLA-DRB5"	4.33797804845163e-42	-1.66811504442641	0.845	0.978	1.45035958071932e-37	"Ast"	"HLA-DRB5"	"GBM"
"HLA-DPA1"	1.10839301690856e-31	-1.30204758995852	0.887	0.986	3.70580121273207e-27	"Ast"	"HLA-DPA1"	"GBM"
"DDX3Y"	3.52889782966983e-31	-1.68120467272225	0	0.671	1.17985170037181e-26	"Ast"	"DDX3Y"	"GBM"
"ADGRG1"	2.08011404567734e-27	0.993030813628593	0.371	0.08	6.95465330031761e-23	"Ast"	"ADGRG1"	"GBM"
"ANKRD36B"	1.41508546892358e-25	-1.57192924298718	0.072	0.665	4.7311967567991e-21	"Ast"	"ANKRD36B"	"GBM"
"CH25H"	1.59923412574934e-23	-2.66253327617123	0.093	0.626	5.34687937603035e-19	"Ast"	"CH25H"	"GBM"
"HMOX1"	1.28466513883691e-22	2.04908905406305	0.856	0.738	4.29514942518731e-18	"Ast"	"HMOX1"	"GBM"
"NAV3"	1.53805511848647e-22	0.37496515281004	0.196	0.028	5.14233348314767e-18	"Ast"	"NAV3"	"GBM"
"TNFAIP3"	2.07609999876245e-21	-1.41005932528537	0.485	0.883	6.94123273586236e-17	"Ast"	"TNFAIP3"	"GBM"
"HLA-DQA1"	7.59773081702637e-21	-1.15246213095577	0.722	0.946	2.5402253213646e-16	"Ast"	"HLA-DQA1"	"GBM"
"VIM"	8.37943258563026e-21	-0.91008852859486	0.763	0.982	2.80157949067962e-16	"Ast"	"VIM"	"GBM"
"AZI2"	1.25186232788733e-19	-1.26101279972608	0.206	0.664	4.18547650705851e-15	"Ast"	"AZI2"	"GBM"
"C3"	1.74222436443754e-19	-0.962369742852963	0.835	0.985	5.82495294006046e-15	"Ast"	"C3"	"GBM"
"CADM1"	3.93796991681704e-19	-1.06137541778199	0.216	0.69	1.31662086198861e-14	"Ast"	"CADM1"	"GBM"
"MT-ND4L"	4.92039785301568e-19	-0.833447463890772	0.753	0.958	1.64508581817726e-14	"Ast"	"MT-ND4L"	"GBM"
"FCGR3A"	6.69055843758155e-19	-1.0280867538589	0.701	0.938	2.23692130802101e-14	"Ast"	"FCGR3A"	"GBM"
"HLA-DRA"	1.25257610553555e-18	-0.825968052339528	0.948	0.999	4.18786295124755e-14	"Ast"	"HLA-DRA"	"GBM"
"ACSL1"	2.77882511384573e-18	-0.895935559419988	0.402	0.834	9.2907238856318e-14	"Ast"	"ACSL1"	"GBM"
"CD74"	1.29040074107197e-17	-0.645922095896826	0.979	1	4.31432583770002e-13	"Ast"	"CD74"	"GBM"
"SIRPB1"	3.28004875860761e-17	0.230364260398455	0.144	0.02	1.09665150195287e-12	"Ast"	"SIRPB1"	"GBM"
"ANKRD22"	3.6390155347641e-17	-0.94969731314508	0.082	0.548	1.21666845389303e-12	"Ast"	"ANKRD22"	"GBM"
"EDNRB"	8.19454501131387e-17	0.737980969539278	0.361	0.109	2.73976417908268e-12	"Ast"	"EDNRB"	"GBM"
"HLA-DPB1"	2.09590218653174e-16	-0.822436264789716	0.928	0.985	7.00743937045023e-12	"Ast"	"HLA-DPB1"	"GBM"
"SRGAP1"	1.19755504826801e-15	-0.793138647290399	0.443	0.83	4.00390554837927e-11	"Ast"	"SRGAP1"	"GBM"
"NBL1"	1.53014674286974e-15	0.452885050039514	0.144	0.023	5.11589262011068e-11	"Ast"	"NBL1"	"GBM"
"CLEC5A"	4.73079586380931e-15	0.867687862489695	0.454	0.179	1.581694289106e-10	"Ast"	"CLEC5A"	"GBM"
"AC103591.3"	5.4158015330629e-15	-1.14203436201877	0.103	0.521	1.81071908456425e-10	"Ast"	"AC103591.3"	"GBM"
"MT-ATP8"	8.56362880097682e-15	-0.841880871481179	0.381	0.779	2.86316365331859e-10	"Ast"	"MT-ATP8"	"GBM"
"CDKN1A"	1.66395520933887e-13	-0.981161102496392	0.278	0.663	5.56326784690357e-09	"Ast"	"CDKN1A"	"GBM"
"MT-ND2"	4.4780086405682e-13	-0.554355891230449	0.959	0.987	1.49717740888757e-08	"Ast"	"MT-ND2"	"GBM"
"SRGN"	1.17874772711574e-12	-0.770772662332324	0.938	0.977	3.94102515083878e-08	"Ast"	"SRGN"	"GBM"
"HERPUD1"	1.44087500771155e-12	-0.793862660901074	0.649	0.885	4.81742150078281e-08	"Ast"	"HERPUD1"	"GBM"
"HIST1H4C"	2.98088166772552e-12	-0.78725674749752	0.186	0.578	9.9662797678735e-08	"Ast"	"HIST1H4C"	"GBM"
"PROC"	5.02380000966047e-12	0.247232196467478	0.144	0.028	1.67965729522988e-07	"Ast"	"PROC"	"GBM"
"TOP1"	6.92679757178529e-12	-0.60976462215989	0.557	0.826	2.31590550015069e-07	"Ast"	"TOP1"	"GBM"
"C5AR1"	9.00978412400138e-12	-0.965696049727739	0.392	0.725	3.01233122401862e-07	"Ast"	"C5AR1"	"GBM"
"NAMPT"	1.37475252387232e-11	-0.741045372019065	0.742	0.905	4.59634758831471e-07	"Ast"	"NAMPT"	"GBM"
"ZFAND5"	1.74576538188779e-11	-0.76608029126687	0.526	0.819	5.83679197780363e-07	"Ast"	"ZFAND5"	"GBM"
"FTL"	1.99699195086105e-11	0.678233474839514	1	1	6.67674288850882e-07	"Ast"	"FTL"	"GBM"
"MT2A"	2.36053768243426e-11	-0.443609458922811	0.392	0.738	7.89222168745069e-07	"Ast"	"MT2A"	"GBM"
"MT-ND1"	6.6376622624454e-11	-0.560000092507869	0.959	0.989	2.21923600082599e-06	"Ast"	"MT-ND1"	"GBM"
"PDE6G"	6.80753434560785e-11	-0.5956436322561	0	0.316	2.27603103311053e-06	"Ast"	"PDE6G"	"GBM"
"TCHH"	7.86733273631168e-11	-1.24642617589437	0.186	0.528	2.63036402705845e-06	"Ast"	"TCHH"	"GBM"
"MT-CO3"	8.11147029278493e-11	-0.634623180120904	1	0.995	2.71198897768971e-06	"Ast"	"MT-CO3"	"GBM"
