"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"DDX3Y"	3.15247517634412e-13	-1.75596541337562	0	0.5	1.05399855045889e-08	"Ast"	"DDX3Y"	"40-60"
"IGKC"	7.69212464533867e-13	-1.88066628106852	0.031	0.625	2.57178495392253e-08	"Ast"	"IGKC"	"40-60"
"THBS1"	5.81980533595143e-11	-2.70851602251377	0.01	0.458	1.945793716022e-06	"Ast"	"THBS1"	"40-60"
"HLA-DRB5"	1.68896603662466e-10	3.44511739856796	0.845	0.083	5.6468890468509e-06	"Ast"	"HLA-DRB5"	"40-60"
"XIST"	3.13939786508013e-10	3.21264078266417	0.814	0	1.04962628221089e-05	"Ast"	"XIST"	"40-60"
"IGHA1"	6.22070977017818e-10	-0.723881948908966	0.01	0.417	2.07983210456137e-05	"Ast"	"IGHA1"	"40-60"
"ERAP2"	1.08571109393216e-08	-0.763588440877992	0.031	0.458	0.000362996647145278	"Ast"	"ERAP2"	"40-60"
"ZFY"	5.15223318176984e-08	-1.32002850778044	0	0.292	0.00172259764199293	"Ast"	"ZFY"	"40-60"
"MT-ND3"	9.06595636412476e-07	-1.44940301714511	0.959	1	0.0303111185078147	"Ast"	"MT-ND3"	"40-60"
"GPR85"	5.07917884622299e-06	-0.468824899902754	0	0.208	0.169817265544619	"Ast"	"GPR85"	"40-60"
"SLC2A6"	5.07917884622299e-06	-0.251013473855637	0	0.208	0.169817265544619	"Ast"	"SLC2A6"	"40-60"
"USP9Y"	5.07917884622299e-06	-0.388801982921757	0	0.208	0.169817265544619	"Ast"	"USP9Y"	"40-60"
"EIF1AY"	5.07917884622299e-06	-0.345730799056836	0	0.208	0.169817265544619	"Ast"	"EIF1AY"	"40-60"
"ZMIZ1"	7.65634256723077e-06	-1.05974441122895	0.186	0.625	0.255982157392794	"Ast"	"ZMIZ1"	"40-60"
"DENND5A"	1.55600954053598e-05	-0.451878576066116	0.134	0.542	0.5202362297828	"Ast"	"DENND5A"	"40-60"
"NCEH1"	2.24346764092457e-05	-0.836560296215036	0.134	0.542	0.750080971066719	"Ast"	"NCEH1"	"40-60"
"GSTP1"	2.27002353545654e-05	1.50396375448522	0.773	0.5	0.75895966884454	"Ast"	"GSTP1"	"40-60"
