"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"XIST"	0.000780042559831556	3.90436246083485	1	0	1	"Ast"	"XIST"	"40-60"	"N"
"LPCAT2"	0.00159009504124524	2.34729736482964	1	0.25	1	"Ast"	"LPCAT2"	"40-60"	"N"
"CYFIP1"	0.00471090171119767	-2.20882647236596	0	0.875	1	"Ast"	"CYFIP1"	"40-60"	"N"
"PLXNB2"	0.00500593289354264	1.40373996191008	1	0.5	1	"Ast"	"PLXNB2"	"40-60"	"N"
"SPP1"	0.00550935019347672	-2.40943739932313	1	1	1	"Ast"	"SPP1"	"40-60"	"N"
"JAK1"	0.00720065104490454	-1.72380020111995	0.167	0.875	1	"Ast"	"JAK1"	"40-60"	"N"
"ELOB"	0.0100338373637127	-2.02548381518015	0.333	0.875	1	"Ast"	"ELOB"	"40-60"	"N"
"SLC11A1"	0.0106784690878401	-2.04000489799289	0.167	0.875	1	"Ast"	"SLC11A1"	"40-60"	"N"
"SH3BGRL3"	0.0114525524429326	-1.33044182358942	0.5	1	1	"Ast"	"SH3BGRL3"	"40-60"	"N"
"FTL"	0.0118211378366223	-2.36401910416537	0.833	1	1	"Ast"	"FTL"	"40-60"	"N"
"SGPP1"	0.0121942884826742	1.66532166278027	0.667	0	1	"Ast"	"SGPP1"	"40-60"	"N"
"DERL2"	0.0121942884826742	1.36442078557737	0.667	0	1	"Ast"	"DERL2"	"40-60"	"N"
"CCL2"	0.0121942884826742	3.80045864248616	0.667	0	1	"Ast"	"CCL2"	"40-60"	"N"
"SAP30BP"	0.0121942884826742	1.58449839201176	0.667	0	1	"Ast"	"SAP30BP"	"40-60"	"N"
"OGFR"	0.0121942884826742	1.43743299027098	0.667	0	1	"Ast"	"OGFR"	"40-60"	"N"
"FOLR2"	0.0123506260683907	-2.08248505676452	0	0.75	1	"Ast"	"FOLR2"	"40-60"	"N"
"ATP6V0A1"	0.0123506260683907	-1.31183766163941	0	0.75	1	"Ast"	"ATP6V0A1"	"40-60"	"N"
"NCOA3"	0.0123506260683907	-2.07700092700919	0	0.75	1	"Ast"	"NCOA3"	"40-60"	"N"
