"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"XIST"	5.06730744963617e-13	0.787453254833486	0.9	0.018	1.1128820620891e-08	"Ast"	"XIST"
"DDR1"	7.2179508432254e-07	0.0461348217712321	0.5	0.018	0.0158520636418916	"Ast"	"DDR1"
"SKP1P2"	1.31215867975568e-06	0.177968457404129	1	0.825	0.0288176289247942	"Ast"	"SKP1P2"
"alignment-not-unique"	4.20078353381952e-06	0.849837942086914	1	1	0.0922576079697444	"Ast"	"alignment-not-unique"
"SOX4"	4.21813391949772e-06	-0.361286904155835	0.1	0.93	0.092638657140009	"Ast"	"SOX4"
"SMARCC2"	1.54807477727785e-05	-0.488691132967487	0.2	0.895	0.339988182585762	"Ast"	"SMARCC2"
"LOC100130331"	1.98070914666444e-05	0.00320992680279557	0.4	0.018	0.435003342790444	"Ast"	"LOC100130331"
"NACAP1"	1.98070914666444e-05	0.00270712562312007	0.4	0.018	0.435003342790444	"Ast"	"NACAP1"
"TTTY15"	2.88978592960276e-05	-0.227973918301081	0	0.825	0.634654785859357	"Ast"	"TTTY15"
"HPSE2"	2.99988202561716e-05	0.0549772508220294	0.3	0	0.65883409046604	"Ast"	"HPSE2"
"GPR12"	3.91243430941783e-05	0.00209800205033832	0.4	0.018	0.859248823034343	"Ast"	"GPR12"
"POTEF"	3.91243430941783e-05	0.0019182322501858	0.4	0.018	0.859248823034343	"Ast"	"POTEF"
"UTY"	4.10211842923716e-05	-0.432828241276897	0	0.807	0.900907249429066	"Ast"	"UTY"
"FADS1"	4.13265193981203e-05	-0.686105438138379	0.2	0.947	0.907613019021517	"Ast"	"FADS1"
"PTDSS1"	5.69854771595393e-05	0.439108074486328	0.8	0.175	1	"Ast"	"PTDSS1"
"no-feature"	7.80977887050939e-05	-0.374478819302261	1	1	1	"Ast"	"no-feature"
"FAM174A"	0.000100382088590705	0.136468736568436	0.5	0.053	1	"Ast"	"FAM174A"
"DDX3Y"	0.000111583860140257	-0.968723061521918	0	0.754	1	"Ast"	"DDX3Y"
"PHF7"	0.000153250524043876	-0.039013217750173	0	0.737	1	"Ast"	"PHF7"
"PURA"	0.0001791856246887	-0.353927146324496	0.2	0.807	1	"Ast"	"PURA"
"USP9Y"	0.000207983007943278	-0.643483702069115	0.1	0.754	1	"Ast"	"USP9Y"
"GSTM2P1"	0.000254451018587081	0.00826252717547829	0.6	0.123	1	"Ast"	"GSTM2P1"
"KCNQ3"	0.00028236957762653	-0.175640802228641	0	0.702	1	"Ast"	"KCNQ3"
"NEFM"	0.000311497171611874	0.16700104067799	0.4	0.035	1	"Ast"	"NEFM"
"RHBDF1"	0.000367941393951432	0.243258512908924	0.5	0.088	1	"Ast"	"RHBDF1"
"ENPP5"	0.000378945206905902	-0.317682545388704	0	0.684	1	"Ast"	"ENPP5"
"KIAA1279"	0.000378945206905902	-0.55486566153313	0	0.684	1	"Ast"	"KIAA1279"
"PER1"	0.000378945206905902	-0.113055116893541	0	0.684	1	"Ast"	"PER1"
"KIAA1161"	0.000385768670022874	0.236203781240298	0.9	0.316	1	"Ast"	"KIAA1161"
"ATP6V0A1"	0.000450391666877021	-0.335347610413977	0.4	0.86	1	"Ast"	"ATP6V0A1"
"TFAMP1"	0.000479554376157314	0.00171607916789477	0.3	0.018	1	"Ast"	"TFAMP1"
"KDM5D"	0.000504815842453562	-0.378759945430129	0	0.667	1	"Ast"	"KDM5D"
"MAPK14"	0.000504815842453562	-0.209461293135013	0	0.667	1	"Ast"	"MAPK14"
"NECAB1"	0.000504815842453562	-0.375548454194013	0	0.667	1	"Ast"	"NECAB1"
"TSC22D3"	0.000504815842453562	-0.60245170353423	0	0.667	1	"Ast"	"TSC22D3"
"NEAT1"	0.000541327583033923	-0.787449948464207	0.7	0.93	1	"Ast"	"NEAT1"
"C1orf56"	0.000570695434008336	-0.284027552205592	0.1	0.702	1	"Ast"	"C1orf56"
"GPR22"	0.000570695434008336	-0.554033937324098	0.1	0.702	1	"Ast"	"GPR22"
"DNAJB4"	0.000585795944792552	-0.568095701707317	0.2	0.825	1	"Ast"	"DNAJB4"
"TTN"	0.000592994438914787	-0.42149452795354	0.3	0.895	1	"Ast"	"TTN"
"HSD3BP4"	0.000658659946559586	0.00142188980338308	0.3	0.018	1	"Ast"	"HSD3BP4"
"LOC100131257"	0.000658659946559586	0.00143185887596408	0.3	0.018	1	"Ast"	"LOC100131257"
"FOSB"	0.00066767042118477	-0.422629833967122	0	0.649	1	"Ast"	"FOSB"
"UBAP2L"	0.000703051360921449	-0.221424384335011	0.1	0.807	1	"Ast"	"UBAP2L"
"ARG1"	0.000746162747440879	0.00169882688107057	0.2	0	1	"Ast"	"ARG1"
"C15orf42"	0.000746162747440879	0.0802133819420865	0.2	0	1	"Ast"	"C15orf42"
"CARD6"	0.000746162747440879	0.0091983369124689	0.2	0	1	"Ast"	"CARD6"
"CARNS1"	0.000746162747440879	0.0100662225351162	0.2	0	1	"Ast"	"CARNS1"
"KIF25"	0.000746162747440879	0.0405610659329248	0.2	0	1	"Ast"	"KIF25"
"LOC100288842"	0.000746162747440879	0.00113076945811261	0.2	0	1	"Ast"	"LOC100288842"
"LOC643623"	0.000746162747440879	0.000907040001476734	0.2	0	1	"Ast"	"LOC643623"
"LOC729862"	0.000746162747440879	0.00280937439100203	0.2	0	1	"Ast"	"LOC729862"
"MOB3B"	0.000746162747440879	0.0130098360950162	0.2	0	1	"Ast"	"MOB3B"
"MORN5"	0.000746162747440879	0.0446288046376142	0.2	0	1	"Ast"	"MORN5"
"NSUN7"	0.000746162747440879	0.000730665904335247	0.2	0	1	"Ast"	"NSUN7"
"OSTCP1"	0.000746162747440879	0.00228859845801048	0.2	0	1	"Ast"	"OSTCP1"
"PIK3R5"	0.000746162747440879	0.000882331814245446	0.2	0	1	"Ast"	"PIK3R5"
"PIN1P1"	0.000746162747440879	0.000961540422537804	0.2	0	1	"Ast"	"PIN1P1"
"PRORSD1P"	0.000746162747440879	0.187449924949352	0.2	0	1	"Ast"	"PRORSD1P"
"TXNRD2"	0.000746162747440879	0.444189332068042	0.2	0	1	"Ast"	"TXNRD2"
"PILRA"	0.000769923264330914	0.00451148832811896	0.3	0.018	1	"Ast"	"PILRA"
"PDGFRB"	0.000800265010810613	-0.325300715456011	0.5	0.877	1	"Ast"	"PDGFRB"
"PDXDC1"	0.000858685349103143	-0.317886429583515	0.3	0.754	1	"Ast"	"PDXDC1"
"SENP7"	0.000865297932267411	-0.630847236942968	0.5	0.912	1	"Ast"	"SENP7"
"GJB2"	0.000866090975792772	0.0923262143818618	0.4	0.053	1	"Ast"	"GJB2"
"C3orf33"	0.000876878129710252	-0.0982060873959419	0	0.632	1	"Ast"	"C3orf33"
"GNAI2"	0.000876878129710252	-0.0827905468443142	0	0.632	1	"Ast"	"GNAI2"
"VOPP1"	0.000876878129710252	-0.105947315237672	0	0.632	1	"Ast"	"VOPP1"
"RGS16"	0.000888929713557469	-0.475278645355326	0.2	0.719	1	"Ast"	"RGS16"
"BCLAF1"	0.000897894850163437	-1.15293900141902	0.5	0.93	1	"Ast"	"BCLAF1"
"PRPF8"	0.00102376491638247	-0.725897412433442	0.2	0.807	1	"Ast"	"PRPF8"
"SPG11"	0.00102376491638247	-0.476140398815371	0.2	0.807	1	"Ast"	"SPG11"
"SAT1"	0.00103242232398756	-1.45294617164766	1	0.982	1	"Ast"	"SAT1"
"NR4A1"	0.00110745706914133	-0.32485341438316	0.1	0.719	1	"Ast"	"NR4A1"
"AHCTF1"	0.00112120471267893	-0.443517122603736	0.4	0.877	1	"Ast"	"AHCTF1"
"TRAF3IP2"	0.00114272000239865	-0.335782513823121	0.1	0.667	1	"Ast"	"TRAF3IP2"
"EIF2B5"	0.00114377396381695	-0.217761981169871	0	0.614	1	"Ast"	"EIF2B5"
"NLGN4Y"	0.00114377396381695	-0.0906771992246353	0	0.614	1	"Ast"	"NLGN4Y"
"PAK3"	0.00114377396381695	-0.16146270708947	0	0.614	1	"Ast"	"PAK3"
"DIP2B"	0.00114816626364171	-0.319304531247271	0.2	0.719	1	"Ast"	"DIP2B"
"MYT1L"	0.00118455692101824	-0.278365127515022	0.3	0.737	1	"Ast"	"MYT1L"
"SDHAP1"	0.00121842891687857	-0.134950239346013	0.1	0.667	1	"Ast"	"SDHAP1"
"FAM195A"	0.001232135375157	0.0137389906237612	0.4	0.053	1	"Ast"	"FAM195A"
"C9orf82"	0.00133504488960326	0.252518691634331	0.7	0.211	1	"Ast"	"C9orf82"
"MYEF2"	0.00138487078563524	-0.574687944600789	0.2	0.754	1	"Ast"	"MYEF2"
"LOC100271836"	0.00139870504468743	-0.417905469044591	0.3	0.789	1	"Ast"	"LOC100271836"
"SEPT3"	0.00139870504468743	-0.494632050828551	0.3	0.789	1	"Ast"	"SEPT3"
"MSN"	0.00140242120726551	-0.198285780948382	0.1	0.684	1	"Ast"	"MSN"
"DUSP1"	0.00145053253839581	-0.551947432753092	0.3	0.825	1	"Ast"	"DUSP1"
"PNRC1"	0.00145053253839581	-0.441353479180448	0.3	0.825	1	"Ast"	"PNRC1"
"ZFP36"	0.00147035767448604	-0.426275787386185	0.3	0.807	1	"Ast"	"ZFP36"
"EDARADD"	0.0014758081248825	0.0690591011778411	0.8	0.614	1	"Ast"	"EDARADD"
"AKAP1"	0.00148197675143361	-0.222960338102009	0	0.596	1	"Ast"	"AKAP1"
"CCDC136"	0.00148197675143361	-0.111564195260462	0	0.596	1	"Ast"	"CCDC136"
"KLF4"	0.00148197675143361	-0.794674642696304	0	0.596	1	"Ast"	"KLF4"
"NR4A2"	0.00148197675143361	-0.291087940845699	0	0.596	1	"Ast"	"NR4A2"
"ZNF44"	0.00148197675143361	-0.0790413578271433	0	0.596	1	"Ast"	"ZNF44"
"RN45S"	0.00149338074358611	-0.428693045370954	1	1	1	"Ast"	"RN45S"
"SCN3B"	0.00154465524393037	-0.118020246879002	0.1	0.649	1	"Ast"	"SCN3B"
"EPB41L3"	0.00155644281849918	0.138114675965099	0.5	0.105	1	"Ast"	"EPB41L3"
"ATP13A3"	0.00156713067986762	-0.51789727221633	0.2	0.754	1	"Ast"	"ATP13A3"
"HSPA5"	0.00157216852857106	-2.13093771656284	0.6	0.93	1	"Ast"	"HSPA5"
"SZT2"	0.00158990926596959	-0.09007223720599	0.1	0.684	1	"Ast"	"SZT2"
"EWSR1"	0.0016333310096441	-0.514241073811514	0.7	0.982	1	"Ast"	"EWSR1"
"NKAIN4"	0.00168072649164142	-0.294826543137582	0.4	0.772	1	"Ast"	"NKAIN4"
"STAM"	0.00168072649164142	-0.222717716039459	0.3	0.789	1	"Ast"	"STAM"
"PLCG1"	0.00174104750230202	-0.181600392345767	0.2	0.842	1	"Ast"	"PLCG1"
"SAP30"	0.00175096138439791	0.0459938393890873	0.7	0.263	1	"Ast"	"SAP30"
"IPO5"	0.00175133028492218	-0.353194342971064	0.1	0.649	1	"Ast"	"IPO5"
"MIDN"	0.00175133028492218	-0.0929082383742733	0.1	0.649	1	"Ast"	"MIDN"
"CCT6A"	0.00176677334394473	-0.402545560065248	0.2	0.86	1	"Ast"	"CCT6A"
"METTL5"	0.00179409838280122	0.353049140291364	0.6	0.158	1	"Ast"	"METTL5"
"C9orf93"	0.00181660129827014	-0.171310150530933	0.2	0.772	1	"Ast"	"C9orf93"
"HSP90B3P"	0.00187970328484535	0.00783504316798324	0.4	0.07	1	"Ast"	"HSP90B3P"
"CACNB2"	0.00189823329006616	-1.178877599621	0.9	0.965	1	"Ast"	"CACNB2"
