"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"MIR4461"	3.19349861458755e-07	-0.0369852602036867	0	0.875	0.00701356165735717	"Mig"	"MIR4461"	"40-60"
"DDX3Y"	1.35123201030515e-06	-1.90531314313431	0.04	0.875	0.0296757574103216	"Mig"	"DDX3Y"	"40-60"
"DSE"	8.840170409358e-06	-1.08705714280342	0.08	0.875	0.19414782253032	"Mig"	"DSE"	"40-60"
"PRDM1"	1.00916170979319e-05	-1.96344078106172	0.12	0.875	0.22163209470478	"Mig"	"PRDM1"	"40-60"
"MICAL1"	1.57117030591698e-05	-1.00498515260906	0.04	0.75	0.345060422585488	"Mig"	"MICAL1"	"40-60"
"SERF2"	1.84016522864554e-05	-0.868486626097521	0.52	1	0.404137087515133	"Mig"	"SERF2"	"40-60"
"GPX1"	2.03498635802087e-05	-1.01564422885938	0.44	1	0.446923703948543	"Mig"	"GPX1"	"40-60"
"PLP1"	2.55952689974363e-05	2.66775857718717	1	0	0.562123297721695	"Mig"	"PLP1"	"40-60"
"FTL"	2.76367391895655e-05	-3.78584017098193	0.76	1	0.606958066081236	"Mig"	"FTL"	"40-60"
"NDUFB7"	2.99383122593972e-05	-0.100879020464826	0	0.625	0.657505213840882	"Mig"	"NDUFB7"	"40-60"
"PECAM1"	2.99383122593972e-05	-0.481738205211656	0	0.625	0.657505213840882	"Mig"	"PECAM1"	"40-60"
"POTEE"	2.99383122593972e-05	-0.0274154411540158	0	0.625	0.657505213840882	"Mig"	"POTEE"	"40-60"
"RN45S"	4.20678071591867e-05	-1.93998815104554	0.96	1	0.923893180830058	"Mig"	"RN45S"	"40-60"
"UBC"	5.03899664816871e-05	-3.98144440131179	0.96	1	1	"Mig"	"UBC"	"40-60"
"XIST"	5.06422467609968e-05	0.745838790399589	0.96	0	1	"Mig"	"XIST"	"40-60"
"TMSB10"	5.28835392289645e-05	-0.545906240125629	0.44	1	1	"Mig"	"TMSB10"	"40-60"
"NDUFA13"	6.30029317722121e-05	-0.462818004390513	0.24	0.875	1	"Mig"	"NDUFA13"	"40-60"
