"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"XIST"	9.4131659463691e-68	2.93207513597513	0.378	0	2.89850205820597e-63	"Ast"	"XIST"	"20-40"
"RP11-561I11.4"	1.98088529064128e-21	-1.80463424367616	0.004	0.171	6.09954198694264e-17	"Ast"	"RP11-561I11.4"	"20-40"
"NLGN4Y"	8.76342842783676e-20	-1.82620006123797	0	0.149	2.6984348814995e-15	"Ast"	"NLGN4Y"	"20-40"
"LRP1B"	6.08955412649783e-18	0.561691230006904	0.904	0.789	1.87509550663121e-13	"Ast"	"LRP1B"	"20-40"
"NRXN1"	4.02080350472487e-17	0.497950272203867	0.925	0.883	1.23808581517488e-12	"Ast"	"NRXN1"	"20-40"
"UBA6-AS1"	6.11308674678049e-17	1.01104440187372	0.298	0.103	1.88234167106865e-12	"Ast"	"UBA6-AS1"	"20-40"
"HSP90AA1"	2.89869562650268e-16	-1.34147644352318	0.304	0.486	8.92566357312704e-12	"Ast"	"HSP90AA1"	"20-40"
"HSPA1A"	1.57411881065509e-15	-1.63856552126212	0.01	0.139	4.84702664176915e-11	"Ast"	"HSPA1A"	"20-40"
"UTY"	5.63462291415753e-15	-1.52020754103477	0	0.112	1.73501308772739e-10	"Ast"	"UTY"	"20-40"
"TTTY14"	1.00217939716969e-14	-1.5094452557527	0.006	0.124	3.08591079976491e-10	"Ast"	"TTTY14"	"20-40"
"CST3"	1.19149600793411e-13	-1.01444480125194	0.318	0.492	3.6688545076307e-09	"Ast"	"CST3"	"20-40"
"PDE3B"	2.3543243791205e-13	0.838301373878776	0.32	0.137	7.24943562818784e-09	"Ast"	"PDE3B"	"20-40"
"JPX"	4.34603405437855e-12	0.863670662082862	0.296	0.129	1.33823080602424e-07	"Ast"	"JPX"	"20-40"
"RNF219-AS1"	3.75196955597941e-11	0.46027294732284	0.727	0.523	1.15530646567718e-06	"Ast"	"RNF219-AS1"	"20-40"
"LSAMP"	3.77608598053541e-11	0.33309297035241	0.975	0.962	1.16273239512646e-06	"Ast"	"LSAMP"	"20-40"
"FAM155A"	1.03296308351501e-10	0.485206202488413	0.765	0.606	3.18069992675943e-06	"Ast"	"FAM155A"	"20-40"
"HPSE2"	1.23776597678749e-10	0.633102786199408	0.62	0.424	3.81132899572402e-06	"Ast"	"HPSE2"	"20-40"
"KNOP1"	1.28839864682954e-10	0.90727410218221	0.224	0.087	3.96723711331752e-06	"Ast"	"KNOP1"	"20-40"
"DGKB"	4.29190754827127e-10	-0.989498964067587	0.139	0.288	1.32156417226369e-05	"Ast"	"DGKB"	"20-40"
"GRID2"	4.32794661765775e-10	1.18683670309425	0.233	0.102	1.33266132250917e-05	"Ast"	"GRID2"	"20-40"
"NKAIN3"	6.70070059489034e-10	0.508897893160624	0.733	0.573	2.06327972717863e-05	"Ast"	"NKAIN3"	"20-40"
"UPF3B"	8.7574892510794e-10	0.963971976305465	0.186	0.068	2.69660609019237e-05	"Ast"	"UPF3B"	"20-40"
"TRPS1"	9.06550096728205e-10	0.673534679882852	0.453	0.273	2.79144905784549e-05	"Ast"	"TRPS1"	"20-40"
